Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
Blackburn with Darwen,3.2,Confidence,2018,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,4.9,Confidence,2018,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.7,Confidence,2018,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,6.3,Confidence,2018,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.5,Confidence,2018,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.2,Confidence,2018,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,7.4,Confidence,2019,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,10.5,Confidence,2019,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,9.5,Confidence,2019,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.2,Confidence,2019,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.9,Confidence,2019,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.2,Confidence,2019,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,4.2,Confidence,2019,Qtr 2,June,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.6,Confidence,2019,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,6.1,Confidence,2019,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.3,Confidence,2019,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.1,Confidence,2019,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,7.5,Confidence,2019,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,10.6,Confidence,2019,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,9.7,Confidence,2019,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.2,Confidence,2019,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.7,Confidence,2019,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.1,Confidence,2019,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,4.3,Confidence,2019,Qtr 4,December,16+ unemployment rate - ethnic minority
