Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
Burnley,8800,Denominator,2025,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,6300,Denominator,2025,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,11600,Denominator,2025,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,5700,Denominator,2025,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,6000,Denominator,2025,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Burnley,20400,Denominator,2025,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,20900,Denominator,2025,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,41300,Denominator,2025,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,8000,Denominator,2025,Qtr 4,December,16+ unemployment rate - ethnic minority
Burnley,33600,Denominator,2025,Qtr 4,December,16+ unemployment rate - white
Burnley,7000,Denominator,2025,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
Burnley,13900,Denominator,2025,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,7900,Denominator,2025,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,6000,Denominator,2025,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,4600,Numerator,2013,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,2800,Numerator,2013,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,6100,Numerator,2013,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,7000,Numerator,2013,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,13100,Numerator,2013,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,2400,Numerator,2013,Qtr 2,June,16+ unemployment rate - white
Burnley,6700,Numerator,2013,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,5800,Numerator,2013,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,12600,Numerator,2013,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,4500,Numerator,2013,Qtr 4,December,16+ unemployment rate - white
Burnley,2100,Numerator,2014,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,9000,Numerator,2014,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,2800,Numerator,2014,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,11900,Numerator,2014,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,5600,Numerator,2014,Qtr 2,June,16+ unemployment rate - white
Burnley,7700,Numerator,2014,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2600,Numerator,2014,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,5100,Numerator,2014,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,1500,Numerator,2014,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,9100,Numerator,2014,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4200,Numerator,2014,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,13300,Numerator,2014,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,4700,Numerator,2014,Qtr 4,December,16+ unemployment rate - white
Burnley,7000,Numerator,2014,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3100,Numerator,2014,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3900,Numerator,2014,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,1800,Numerator,2015,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,1200,Numerator,2015,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,8500,Numerator,2015,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,5400,Numerator,2015,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,13900,Numerator,2015,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,3400,Numerator,2015,Qtr 2,June,16+ unemployment rate - white
Burnley,6800,Numerator,2015,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3400,Numerator,2015,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3400,Numerator,2015,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,2700,Numerator,2015,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,2000,Numerator,2015,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,6600,Numerator,2015,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4000,Numerator,2015,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10600,Numerator,2015,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,1800,Numerator,2015,Qtr 4,December,16+ unemployment rate - white
Burnley,4400,Numerator,2015,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2400,Numerator,2015,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,2000,Numerator,2015,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,5300,Numerator,2016,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,4100,Numerator,2016,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,9400,Numerator,2016,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,1900,Numerator,2016,Qtr 2,June,16+ unemployment rate - white
Burnley,6500,Numerator,2016,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3800,Numerator,2016,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,2700,Numerator,2016,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,5900,Numerator,2016,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,3600,Numerator,2016,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,9500,Numerator,2016,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,2100,Numerator,2016,Qtr 4,December,16+ unemployment rate - white
Burnley,7600,Numerator,2016,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,4300,Numerator,2016,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3300,Numerator,2016,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,4100,Numerator,2017,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,2700,Numerator,2017,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,6800,Numerator,2017,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,1200,Numerator,2017,Qtr 2,June,16+ unemployment rate - white
Burnley,6900,Numerator,2017,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3600,Numerator,2017,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3300,Numerator,2017,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,3900,Numerator,2017,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,2800,Numerator,2017,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,6800,Numerator,2017,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,1500,Numerator,2017,Qtr 4,December,16+ unemployment rate - white
Burnley,6800,Numerator,2017,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2900,Numerator,2017,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3900,Numerator,2017,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,5300,Numerator,2018,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,2500,Numerator,2018,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,7800,Numerator,2018,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,2400,Numerator,2018,Qtr 2,June,16+ unemployment rate - white
Burnley,6300,Numerator,2018,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,1900,Numerator,2018,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,4400,Numerator,2018,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,6600,Numerator,2018,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4000,Numerator,2018,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10600,Numerator,2018,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,2700,Numerator,2018,Qtr 4,December,16+ unemployment rate - white
Burnley,6700,Numerator,2018,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2600,Numerator,2018,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,4200,Numerator,2018,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,1600,Numerator,2019,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,1200,Numerator,2019,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,7600,Numerator,2019,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,5200,Numerator,2019,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,12800,Numerator,2019,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,3200,Numerator,2019,Qtr 2,June,16+ unemployment rate - white
Burnley,7900,Numerator,2019,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,1800,Numerator,2019,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,6000,Numerator,2019,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,2400,Numerator,2019,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,1600,Numerator,2019,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,6900,Numerator,2019,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4500,Numerator,2019,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,11400,Numerator,2019,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,2200,Numerator,2019,Qtr 4,December,16+ unemployment rate - white
Burnley,8500,Numerator,2019,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2800,Numerator,2019,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,5700,Numerator,2019,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,2000,Numerator,2020,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,1300,Numerator,2020,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,7200,Numerator,2020,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,3000,Numerator,2020,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,10200,Numerator,2020,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,2100,Numerator,2020,Qtr 2,June,16+ unemployment rate - white
Burnley,6800,Numerator,2020,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3000,Numerator,2020,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3700,Numerator,2020,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,8600,Numerator,2020,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4400,Numerator,2020,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,13000,Numerator,2020,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,5800,Numerator,2020,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,2800,Numerator,2020,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,2900,Numerator,2020,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,7900,Numerator,2021,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,4700,Numerator,2021,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,12600,Numerator,2021,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,1900,Numerator,2021,Qtr 2,June,16+ unemployment rate - white
Burnley,6800,Numerator,2021,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3200,Numerator,2021,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3600,Numerator,2021,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,7100,Numerator,2021,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,2900,Numerator,2021,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10000,Numerator,2021,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,2800,Numerator,2021,Qtr 4,December,16+ unemployment rate - white
Burnley,3900,Numerator,2021,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,1400,Numerator,2021,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,2400,Numerator,2021,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,9300,Numerator,2022,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,3700,Numerator,2022,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,13000,Numerator,2022,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,4900,Numerator,2022,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3800,Numerator,2022,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,6700,Numerator,2022,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,3400,Numerator,2022,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10100,Numerator,2022,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,8500,Numerator,2022,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,6700,Numerator,2022,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,4800,Numerator,2023,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,3300,Numerator,2023,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Burnley,8000,Numerator,2023,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,1800,Numerator,2023,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,9800,Numerator,2023,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,6300,Numerator,2023,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,6300,Numerator,2023,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,8600,Numerator,2023,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,10100,Numerator,2023,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,4600,Numerator,2023,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3400,Numerator,2023,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,4500,Numerator,2024,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,3400,Numerator,2024,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,7900,Numerator,2024,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,9400,Numerator,2024,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,6000,Numerator,2024,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3400,Numerator,2024,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,4500,Numerator,2024,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,6100,Numerator,2024,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10600,Numerator,2024,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,11800,Numerator,2024,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,8200,Numerator,2024,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,3500,Numerator,2024,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,2500,Numerator,2025,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,2500,Numerator,2025,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,5800,Numerator,2025,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,5700,Numerator,2025,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,11400,Numerator,2025,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,6800,Numerator,2025,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,4100,Numerator,2025,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,2700,Numerator,2025,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,4000,Numerator,2025,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,3100,Numerator,2025,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,5600,Numerator,2025,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,4700,Numerator,2025,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,10300,Numerator,2025,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,5300,Numerator,2025,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,3400,Numerator,2025,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,1900,Numerator,2025,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,0.72,Value,2011,Qtr 1,January,Job Density
Burnley,0.69,Value,2012,Qtr 1,January,Job Density
Burnley,0.69,Value,2013,Qtr 1,January,Job Density
Burnley,0.71,Value,2014,Qtr 1,January,Job Density
Burnley,0.77,Value,2015,Qtr 1,January,Job Density
Burnley,0.82,Value,2016,Qtr 1,January,Job Density
Burnley,0.79,Value,2017,Qtr 1,January,Job Density
Burnley,0.75,Value,2018,Qtr 1,January,Job Density
Burnley,0.78,Value,2019,Qtr 1,January,Job Density
Burnley,0.75,Value,2020,Qtr 1,January,Job Density
Burnley,0.75,Value,2021,Qtr 1,January,Job Density
Burnley,0.73,Value,2022,Qtr 1,January,Job Density
Burnley,0.67,Value,2023,Qtr 1,January,Job Density
Burnley,0.72,Value,2024,Qtr 1,January,Job Density
Burnley,60.7,Variable,2013,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,80,Variable,2013,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,44.5,Variable,2013,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Burnley,25,Variable,2013,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,30.8,Variable,2013,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,27.8,Variable,2013,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,7,Variable,2013,Qtr 2,June,16+ unemployment rate - white
Burnley,24.6,Variable,2013,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,26.9,Variable,2013,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,25.5,Variable,2013,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,26.2,Variable,2013,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,12.8,Variable,2013,Qtr 4,December,16+ unemployment rate - white
Burnley,27.8,Variable,2014,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,37.1,Variable,2014,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,13.3,Variable,2014,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,25.9,Variable,2014,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,16.4,Variable,2014,Qtr 2,June,16+ unemployment rate - white
Burnley,54,Variable,2014,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,41.7,Variable,2014,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,63.5,Variable,2014,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,38.6,Variable,2014,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,35.9,Variable,2014,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,17.4,Variable,2014,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,26.9,Variable,2014,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,12.7,Variable,2014,Qtr 4,December,16+ unemployment rate - white
Burnley,49.5,Variable,2014,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,44.2,Variable,2014,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,54.6,Variable,2014,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,49.4,Variable,2015,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,60.5,Variable,2015,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,33,Variable,2015,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,21.5,Variable,2015,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,27.3,Variable,2015,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,8.7,Variable,2015,Qtr 2,June,16+ unemployment rate - white
Burnley,41.2,Variable,2015,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,40.2,Variable,2015,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,42.3,Variable,2015,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,54.4,Variable,2015,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,66.3,Variable,2015,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,26.7,Variable,2015,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,16.1,Variable,2015,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,21.4,Variable,2015,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,4.6,Variable,2015,Qtr 4,December,16+ unemployment rate - white
Burnley,32.5,Variable,2015,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,30.5,Variable,2015,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,35.4,Variable,2015,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,40.4,Variable,2016,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,47.6,Variable,2016,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,22.9,Variable,2016,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,16.1,Variable,2016,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,19.4,Variable,2016,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,4.6,Variable,2016,Qtr 2,June,16+ unemployment rate - white
Burnley,51.1,Variable,2016,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,49.9,Variable,2016,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,52.8,Variable,2016,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,24.3,Variable,2016,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,13.5,Variable,2016,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,18.6,Variable,2016,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,4.8,Variable,2016,Qtr 4,December,16+ unemployment rate - white
Burnley,57.6,Variable,2016,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,53.5,Variable,2016,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,64.2,Variable,2016,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,17.2,Variable,2017,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,10.6,Variable,2017,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,13.8,Variable,2017,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Burnley,42.5,Variable,2017,Qtr 2,June,16+ unemployment rate - ethnic minority
Burnley,2.7,Variable,2017,Qtr 2,June,16+ unemployment rate - white
Burnley,62.9,Variable,2017,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
Burnley,65,Variable,2017,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,58,Variable,2017,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,74.8,Variable,2017,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,33.3,Variable,2017,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,36.6,Variable,2017,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,17.8,Variable,2017,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Burnley,11.5,Variable,2017,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Burnley,14.5,Variable,2017,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Burnley,31.7,Variable,2017,Qtr 4,December,16+ unemployment rate - ethnic minority
Burnley,3.5,Variable,2017,Qtr 4,December,16+ unemployment rate - white
Burnley,50.5,Variable,2017,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
Burnley,60.9,Variable,2017,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Burnley,51.1,Variable,2017,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Burnley,71.2,Variable,2017,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Burnley,43.8,Variable,2018,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Burnley,73,Variable,2018,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Burnley,21.3,Variable,2018,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Burnley,10.2,Variable,2018,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Burnley,15.7,Variable,2018,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
