Local Authority,Time Range,Year,Month,Sum of Value
South Ribble,Single Night,2022,June,1
South Ribble,Single Night,2022,July,1
South Ribble,Single Night,2022,August,1
South Ribble,Single Night,2022,September,2
South Ribble,Single Night,2022,October,2
South Ribble,Single Night,2022,November,1
South Ribble,Single Night,2022,December,1
South Ribble,Single Night,2023,January,2
South Ribble,Single Night,2023,February,0
South Ribble,Single Night,2023,March,0
South Ribble,Single Night,2023,April,1
South Ribble,Long Term,2023,May,0
South Ribble,Single Night,2023,May,0
South Ribble,Long Term,2023,June,0
South Ribble,Single Night,2023,June,0
South Ribble,Long Term,2023,July,0
South Ribble,Single Night,2023,July,1
South Ribble,Long Term,2023,August,1
South Ribble,Single Night,2023,August,1
South Ribble,Long Term,2023,September,0
South Ribble,Single Night,2023,September,2
South Ribble,Long Term,2023,October,0
South Ribble,Single Night,2023,October,2
South Ribble,Long Term,2023,November,1
South Ribble,Single Night,2023,November,2
South Ribble,Long Term,2023,December,0
South Ribble,Single Night,2023,December,3
South Ribble,Long Term,2024,January,1
South Ribble,Single Night,2024,January,1
South Ribble,Long Term,2024,February,0
South Ribble,Single Night,2024,February,1
South Ribble,Long Term,2024,March,2
South Ribble,Single Night,2024,March,1
South Ribble,Long Term,2024,April,2
South Ribble,Single Night,2024,April,1
South Ribble,Long Term,2024,May,0
South Ribble,Single Night,2024,May,1
South Ribble,Long Term,2024,June,0
South Ribble,Single Night,2024,June,1
South Ribble,Long Term,2024,July,1
South Ribble,Single Night,2024,July,1
South Ribble,Long Term,2024,August,1
South Ribble,Single Night,2024,August,0
South Ribble,Long Term,2024,September,0
South Ribble,Single Night,2024,September,0
South Ribble,Long Term,2024,October,0
South Ribble,Single Night,2024,October,1
South Ribble,Long Term,2024,November,0
South Ribble,Single Night,2024,November,1
South Ribble,Long Term,2024,December,0
South Ribble,Single Night,2024,December,1
South Ribble,Long Term,2025,January,0
South Ribble,Single Night,2025,January,1
South Ribble,Long Term,2025,February,0
South Ribble,Single Night,2025,February,2
South Ribble,Long Term,2025,March,0
South Ribble,Single Night,2025,March,1
South Ribble,Long Term,2025,April,0
South Ribble,Single Night,2025,April,0
South Ribble,Long Term,2025,May,0
South Ribble,Single Night,2025,May,0
South Ribble,Long Term,2025,June,0
South Ribble,Single Night,2025,June,1
South Ribble,Long Term,2025,July,0
South Ribble,Single Night,2025,July,1
South Ribble,Long Term,2025,August,0
South Ribble,Single Night,2025,August,2
South Ribble,Long Term,2025,September,0
South Ribble,Single Night,2025,September,1
South Ribble,Long Term,2025,October,0
South Ribble,Single Night,2025,October,2
South Ribble,Long Term,2025,November,1
South Ribble,Single Night,2025,November,1
South Ribble,Long Term,2025,December,1
South Ribble,Single Night,2025,December,1
South Ribble,Long Term,2026,January,1
South Ribble,Single Night,2026,January,1
South Ribble,Long Term,2026,February,1
South Ribble,Single Night,2026,February,1
South Ribble,Long Term,2026,March,0
South Ribble,Single Night,2026,March,1
West Lancashire,Single Night,2020,June,1
West Lancashire,Single Night,2020,July,1
West Lancashire,Single Night,2020,August,1
West Lancashire,Single Night,2020,September,0
West Lancashire,Single Night,2020,October,0
West Lancashire,Single Night,2020,November,1
West Lancashire,Single Night,2020,December,1
West Lancashire,Single Night,2021,January,2
West Lancashire,Single Night,2021,February,3
West Lancashire,Single Night,2021,March,3
West Lancashire,Single Night,2021,April,2
West Lancashire,Single Night,2021,May,2
West Lancashire,Single Night,2021,June,2
West Lancashire,Single Night,2021,July,1
West Lancashire,Single Night,2021,August,2
West Lancashire,Single Night,2021,September,0
West Lancashire,Single Night,2021,October,0
West Lancashire,Single Night,2021,November,3
West Lancashire,Single Night,2021,December,3
West Lancashire,Single Night,2022,January,3
West Lancashire,Single Night,2022,February,3
West Lancashire,Single Night,2022,March,3
West Lancashire,Single Night,2022,April,3
West Lancashire,Single Night,2022,May,3
West Lancashire,Single Night,2022,June,3
West Lancashire,Single Night,2022,July,3
West Lancashire,Single Night,2022,August,3
West Lancashire,Single Night,2022,September,3
West Lancashire,Single Night,2022,October,3
West Lancashire,Single Night,2022,November,3
West Lancashire,Single Night,2022,December,3
West Lancashire,Single Night,2023,January,3
West Lancashire,Single Night,2023,February,3
West Lancashire,Single Night,2023,March,3
West Lancashire,Single Night,2023,April,3
West Lancashire,Single Night,2023,May,3
West Lancashire,Single Night,2023,June,3
West Lancashire,Single Night,2023,July,3
West Lancashire,Single Night,2023,August,3
West Lancashire,Single Night,2023,September,3
West Lancashire,Single Night,2023,October,3
West Lancashire,Single Night,2023,November,3
West Lancashire,Single Night,2023,December,3
West Lancashire,Single Night,2024,January,3
West Lancashire,Single Night,2024,February,3
West Lancashire,Single Night,2024,March,3
West Lancashire,Single Night,2024,April,3
West Lancashire,Single Night,2024,May,3
West Lancashire,Single Night,2024,June,3
West Lancashire,Single Night,2024,July,3
West Lancashire,Single Night,2024,August,3
West Lancashire,Single Night,2024,September,3
West Lancashire,Single Night,2024,October,3
West Lancashire,Single Night,2024,November,3
West Lancashire,Single Night,2024,December,3
West Lancashire,Long Term,2025,January,4
West Lancashire,Single Night,2025,January,4
West Lancashire,Long Term,2025,February,0
West Lancashire,Single Night,2025,February,0
West Lancashire,Long Term,2025,March,0
West Lancashire,Single Night,2025,March,0
West Lancashire,Long Term,2025,April,0
West Lancashire,Single Night,2025,April,0
West Lancashire,Long Term,2025,May,0
West Lancashire,Single Night,2025,May,0
West Lancashire,Long Term,2025,June,0
West Lancashire,Single Night,2025,June,0
West Lancashire,Long Term,2025,July,0
West Lancashire,Single Night,2025,July,2
West Lancashire,Long Term,2025,August,0
West Lancashire,Single Night,2025,August,3
West Lancashire,Long Term,2025,September,0
West Lancashire,Single Night,2025,September,3
West Lancashire,Long Term,2025,October,0
West Lancashire,Single Night,2025,October,4
West Lancashire,Long Term,2025,November,0
West Lancashire,Single Night,2025,November,4
West Lancashire,Long Term,2025,December,0
West Lancashire,Single Night,2025,December,2
West Lancashire,Long Term,2026,January,0
West Lancashire,Single Night,2026,January,0
West Lancashire,Long Term,2026,February,0
West Lancashire,Single Night,2026,February,2
West Lancashire,Long Term,2026,March,0
West Lancashire,Single Night,2026,March,2
Wyre,Single Night,2020,June,0
Wyre,Single Night,2020,July,0
Wyre,Single Night,2020,August,2
Wyre,Single Night,2020,September,2
Wyre,Single Night,2020,October,5
Wyre,Single Night,2020,November,4
Wyre,Single Night,2020,December,6
Wyre,Single Night,2021,January,3
Wyre,Single Night,2021,February,1
Wyre,Single Night,2021,March,1
Wyre,Single Night,2021,April,1
Wyre,Single Night,2021,May,0
Wyre,Single Night,2021,June,1
Wyre,Single Night,2021,July,5
Wyre,Single Night,2021,August,1
Wyre,Single Night,2021,September,2
Wyre,Single Night,2021,October,1
Wyre,Single Night,2021,November,4
Wyre,Single Night,2021,December,3
Wyre,Single Night,2022,January,3
Wyre,Single Night,2022,February,4
Wyre,Single Night,2022,March,5
Wyre,Single Night,2022,April,1
Wyre,Single Night,2022,May,4
Wyre,Single Night,2022,June,1
Wyre,Single Night,2022,July,1
Wyre,Single Night,2022,August,2
Wyre,Single Night,2022,September,7
Wyre,Single Night,2022,October,3
Wyre,Single Night,2022,November,2
Wyre,Single Night,2022,December,2
Wyre,Single Night,2023,January,2
Wyre,Single Night,2023,February,3
Wyre,Single Night,2023,March,3
Wyre,Single Night,2023,April,1
Wyre,Long Term,2023,May,3
Wyre,Single Night,2023,May,5
Wyre,Long Term,2023,June,1
Wyre,Single Night,2023,June,3
Wyre,Long Term,2023,July,1
Wyre,Single Night,2023,July,3
Wyre,Long Term,2023,August,0
Wyre,Single Night,2023,August,2
Wyre,Long Term,2023,September,0
Wyre,Single Night,2023,September,3
Wyre,Long Term,2023,October,0
Wyre,Single Night,2023,October,0
Wyre,Long Term,2023,November,0
Wyre,Single Night,2023,November,0
Wyre,Long Term,2023,December,0
Wyre,Single Night,2023,December,1
Wyre,Long Term,2024,January,0
Wyre,Single Night,2024,January,2
Wyre,Long Term,2024,February,0
Wyre,Single Night,2024,February,2
Wyre,Long Term,2024,March,0
Wyre,Single Night,2024,March,2
Wyre,Long Term,2024,April,0
Wyre,Single Night,2024,April,1
Wyre,Long Term,2024,May,0
Wyre,Single Night,2024,May,3
Wyre,Long Term,2024,June,0
Wyre,Single Night,2024,June,1
Wyre,Long Term,2024,July,0
Wyre,Single Night,2024,July,2
Wyre,Long Term,2024,August,2
Wyre,Single Night,2024,August,6
Wyre,Long Term,2024,September,2
Wyre,Single Night,2024,September,5
Wyre,Long Term,2024,October,4
Wyre,Single Night,2024,October,4
Wyre,Long Term,2024,November,2
Wyre,Single Night,2024,November,3
Wyre,Long Term,2024,December,2
Wyre,Single Night,2024,December,3
Wyre,Long Term,2025,January,0
Wyre,Single Night,2025,January,0
Wyre,Long Term,2025,February,0
Wyre,Single Night,2025,February,1
Wyre,Long Term,2025,March,1
Wyre,Single Night,2025,March,2
Wyre,Long Term,2025,April,1
Wyre,Single Night,2025,April,2
Wyre,Long Term,2025,May,0
Wyre,Single Night,2025,May,2
Wyre,Long Term,2025,June,0
Wyre,Single Night,2025,June,2
Wyre,Long Term,2025,July,2
Wyre,Single Night,2025,July,1
Wyre,Long Term,2025,August,1
Wyre,Single Night,2025,August,2
Wyre,Long Term,2025,September,1
Wyre,Single Night,2025,September,4
Wyre,Long Term,2025,October,1
Wyre,Single Night,2025,October,4
Wyre,Long Term,2025,November,2
Wyre,Single Night,2025,November,5
Wyre,Long Term,2025,December,2
Wyre,Single Night,2025,December,4
Wyre,Long Term,2026,January,3
Wyre,Single Night,2026,January,2
Wyre,Long Term,2026,February,3
Wyre,Single Night,2026,February,4
Wyre,Long Term,2026,March,1
Wyre,Single Night,2026,March,3
