Local Authority,Attribute,Financial Year,Sum of Value
Blackburn with Darwen Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,14726
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2014,13839
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2015,14558
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2016,14527
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2017,11618
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2018,10680
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2019,11090
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2020,11100
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2021,12277
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2022,10225
Blackburn with Darwen Borough Council,Household dry recycling-reuse (tonnes),2023,9404
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2014,6571
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2015,6393
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2016,6406
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2017,4799
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2018,5081
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2019,4278
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2020,4103
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2021,4282
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2022,5480
Blackburn with Darwen Borough Council,Household green recycling-reuse (tonnes),2023,5323
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2014,3052
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2015,1994
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2016,1466
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2017,1432
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2018,2172
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2019,2358
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2020,2001
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2021,1128
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2022,1351
Blackburn with Darwen Borough Council,Local authority collected - estimated rejects (tonnes),2023,1902
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,42728
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,43990
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,44644
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,46313
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,47590
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,42764
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,40594
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,43508
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,42681
Blackburn with Darwen Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,45348
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,20931
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,21598
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,21546
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,17371
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,16288
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,15621
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,15367
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,16806
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,16079
Blackburn with Darwen Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,15060
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2014,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2015,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2016,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2017,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2018,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2019,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2020,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2021,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2022,0
Blackburn with Darwen Borough Council,Non-household - estimated rejects (tonnes),2023,0
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2014,8195
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2015,8074
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2016,9108
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2017,8926
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2018,8663
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2019,5530
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2020,4976
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2021,5859
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2022,5751
Blackburn with Darwen Borough Council,Non-household - total waste (tonnes),2023,6123
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2014,7675
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2015,7426
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2016,8496
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2017,7972
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2018,8136
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2019,5277
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2020,4812
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2021,5612
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2022,5377
Blackburn with Darwen Borough Council,Non-household - waste not sent for recycling (tonnes),2023,5789
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,520
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,648
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,613
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,953
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,527
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,253
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,164
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,247
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,374
Blackburn with Darwen Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,334
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2014,63659
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2015,65588
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2016,66189
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2017,63683
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2018,63877
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2019,58386
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2020,55961
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2021,60314
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2022,58760
Blackburn with Darwen Borough Council,Total local authority collected waste (tonnes),2023,60409
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,2858
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,3272
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,3831
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,4169
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,4256
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,4237
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,2721
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,2675
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,4304
Blackpool Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,3300
Blackpool Borough Council,Household - estimated rejects (tonnes),2014,385
Blackpool Borough Council,Household - estimated rejects (tonnes),2015,954
Blackpool Borough Council,Household - estimated rejects (tonnes),2016,626
Blackpool Borough Council,Household - estimated rejects (tonnes),2017,847
Blackpool Borough Council,Household - estimated rejects (tonnes),2018,867
Blackpool Borough Council,Household - estimated rejects (tonnes),2019,425
Blackpool Borough Council,Household - estimated rejects (tonnes),2020,1106
Blackpool Borough Council,Household - estimated rejects (tonnes),2021,1016
Blackpool Borough Council,Household - estimated rejects (tonnes),2022,1625
Blackpool Borough Council,Household - estimated rejects (tonnes),2023,979
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2014,4179
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2015,3681
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2016,3150
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2017,2969
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2018,2917
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2019,2772
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2020,2744
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2021,2980
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2022,3379
Blackpool Borough Council,Household - other sources (not recycled) (tonnes),2023,4701
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2014,30709
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2015,27536
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2016,34847
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2017,32461
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2018,29896
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2019,32169
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2020,42100
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2021,31375
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2022,24655
Blackpool Borough Council,Household - regular collection (not recycled) (tonnes),2023,26165
Blackpool Borough Council,Household - total waste (tonnes),2014,63470
Blackpool Borough Council,Household - total waste (tonnes),2015,64547
Blackpool Borough Council,Household - total waste (tonnes),2016,63812
Blackpool Borough Council,Household - total waste (tonnes),2017,62955
Blackpool Borough Council,Household - total waste (tonnes),2018,62789
Blackpool Borough Council,Household - total waste (tonnes),2019,64294
Blackpool Borough Council,Household - total waste (tonnes),2020,67146
Blackpool Borough Council,Household - total waste (tonnes),2021,65295
Blackpool Borough Council,Household - total waste (tonnes),2022,62352
Blackpool Borough Council,Household - total waste (tonnes),2023,62710
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2014,38131
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2015,35443
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2016,42453
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2017,40446
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2018,37937
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2019,39603
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2020,48671
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2021,38046
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2022,33962
Blackpool Borough Council,Household - waste not sent for recycling (tonnes),2023,35146
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,25339
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,29104
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,21359
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,22509
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,24852
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,24691
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,18475
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,27249
