Local Authority,Attribute,Financial Year,Sum of Value
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Chorley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Chorley Borough Council,Household - estimated rejects (tonnes),2014,681
Chorley Borough Council,Household - estimated rejects (tonnes),2015,1166
Chorley Borough Council,Household - estimated rejects (tonnes),2016,1496
Chorley Borough Council,Household - estimated rejects (tonnes),2017,1463
Chorley Borough Council,Household - estimated rejects (tonnes),2018,1457
Chorley Borough Council,Household - estimated rejects (tonnes),2019,721
Chorley Borough Council,Household - estimated rejects (tonnes),2020,1548
Chorley Borough Council,Household - estimated rejects (tonnes),2021,1243
Chorley Borough Council,Household - estimated rejects (tonnes),2022,1460
Chorley Borough Council,Household - estimated rejects (tonnes),2023,1400
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2014,2747
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2015,2944
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2016,2648
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2017,2906
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2018,2680
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2019,2566
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2020,2468
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2021,2748
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2022,2460
Chorley Borough Council,Household - other sources (not recycled) (tonnes),2023,2721
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2014,19568
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2015,19442
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2016,20004
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2017,20091
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2018,20062
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2019,19975
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2020,23325
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2021,20772
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2022,19419
Chorley Borough Council,Household - regular collection (not recycled) (tonnes),2023,20734
Chorley Borough Council,Household - total waste (tonnes),2014,44007
Chorley Borough Council,Household - total waste (tonnes),2015,45333
Chorley Borough Council,Household - total waste (tonnes),2016,45736
Chorley Borough Council,Household - total waste (tonnes),2017,42716
Chorley Borough Council,Household - total waste (tonnes),2018,42694
Chorley Borough Council,Household - total waste (tonnes),2019,43599
Chorley Borough Council,Household - total waste (tonnes),2020,49780
Chorley Borough Council,Household - total waste (tonnes),2021,46502
Chorley Borough Council,Household - total waste (tonnes),2022,43254
Chorley Borough Council,Household - total waste (tonnes),2023,43865
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2014,22996
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2015,23552
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2016,24149
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2017,24461
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2018,24199
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2019,23262
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2020,27340
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2021,24763
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2022,23339
Chorley Borough Council,Household - waste not sent for recycling (tonnes),2023,24855
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,21010
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,21781
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,21588
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,18254
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,18495
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,20338
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,22440
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,21739
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,19915
Chorley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,19010
Chorley Borough Council,Household dry recycling-reuse (tonnes),2014,10447
Chorley Borough Council,Household dry recycling-reuse (tonnes),2015,10377
Chorley Borough Council,Household dry recycling-reuse (tonnes),2016,10311
Chorley Borough Council,Household dry recycling-reuse (tonnes),2017,10333
Chorley Borough Council,Household dry recycling-reuse (tonnes),2018,10427
Chorley Borough Council,Household dry recycling-reuse (tonnes),2019,11588
Chorley Borough Council,Household dry recycling-reuse (tonnes),2020,12876
Chorley Borough Council,Household dry recycling-reuse (tonnes),2021,12340
Chorley Borough Council,Household dry recycling-reuse (tonnes),2022,11447
Chorley Borough Council,Household dry recycling-reuse (tonnes),2023,10171
Chorley Borough Council,Household green recycling-reuse (tonnes),2014,10564
Chorley Borough Council,Household green recycling-reuse (tonnes),2015,11404
Chorley Borough Council,Household green recycling-reuse (tonnes),2016,11276
Chorley Borough Council,Household green recycling-reuse (tonnes),2017,7922
Chorley Borough Council,Household green recycling-reuse (tonnes),2018,8068
Chorley Borough Council,Household green recycling-reuse (tonnes),2019,8750
Chorley Borough Council,Household green recycling-reuse (tonnes),2020,9564
Chorley Borough Council,Household green recycling-reuse (tonnes),2021,9399
Chorley Borough Council,Household green recycling-reuse (tonnes),2022,8468
Chorley Borough Council,Household green recycling-reuse (tonnes),2023,8839
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2014,681
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2015,1166
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2016,1496
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2017,1463
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2018,1457
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2019,721
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2020,1548
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2021,1243
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2022,1460
Chorley Borough Council,Local authority collected - estimated rejects (tonnes),2023,1400
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,23099
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,23796
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,24490
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,24760
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,24457
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,23503
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,27620
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,25018
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,23437
Chorley Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,25095
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,21010
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,21784
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,21588
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,18254
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,18507
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,20359
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,22461
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,21748
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,20071
Chorley Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,19032
Chorley Borough Council,Non-household - estimated rejects (tonnes),2014,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2015,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2016,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2017,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2018,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2019,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2020,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2021,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2022,0
Chorley Borough Council,Non-household - estimated rejects (tonnes),2023,0
Chorley Borough Council,Non-household - total waste (tonnes),2014,103
Chorley Borough Council,Non-household - total waste (tonnes),2015,247
Chorley Borough Council,Non-household - total waste (tonnes),2016,341
Chorley Borough Council,Non-household - total waste (tonnes),2017,299
Chorley Borough Council,Non-household - total waste (tonnes),2018,271
Chorley Borough Council,Non-household - total waste (tonnes),2019,263
Chorley Borough Council,Non-household - total waste (tonnes),2020,301
Chorley Borough Council,Non-household - total waste (tonnes),2021,265
Chorley Borough Council,Non-household - total waste (tonnes),2022,254
Chorley Borough Council,Non-household - total waste (tonnes),2023,262
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2014,103
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2015,244
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2016,341
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2017,299
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2018,259
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2019,242
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2020,280
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2021,255
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2022,98
Chorley Borough Council,Non-household - waste not sent for recycling (tonnes),2023,239
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,0
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,3
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,0
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,0
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,12
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,21
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,21
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,10
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,156
Chorley Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,22
Chorley Borough Council,Total local authority collected waste (tonnes),2014,44109
Chorley Borough Council,Total local authority collected waste (tonnes),2015,45580
Chorley Borough Council,Total local authority collected waste (tonnes),2016,46077
Chorley Borough Council,Total local authority collected waste (tonnes),2017,43014
Chorley Borough Council,Total local authority collected waste (tonnes),2018,42964
Chorley Borough Council,Total local authority collected waste (tonnes),2019,43862
Chorley Borough Council,Total local authority collected waste (tonnes),2020,50081
Chorley Borough Council,Total local authority collected waste (tonnes),2021,46767
Chorley Borough Council,Total local authority collected waste (tonnes),2022,43508
Chorley Borough Council,Total local authority collected waste (tonnes),2023,44127
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Fylde Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Fylde Borough Council,Household - estimated rejects (tonnes),2014,162
Fylde Borough Council,Household - estimated rejects (tonnes),2015,519
Fylde Borough Council,Household - estimated rejects (tonnes),2016,325
Fylde Borough Council,Household - estimated rejects (tonnes),2017,846
Fylde Borough Council,Household - estimated rejects (tonnes),2018,838
Fylde Borough Council,Household - estimated rejects (tonnes),2019,341
Fylde Borough Council,Household - estimated rejects (tonnes),2020,734
Fylde Borough Council,Household - estimated rejects (tonnes),2021,651
Fylde Borough Council,Household - estimated rejects (tonnes),2022,479
Fylde Borough Council,Household - estimated rejects (tonnes),2023,795
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2014,1921
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2015,2617
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2016,2645
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2017,2669
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2018,2745
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2019,2896
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2020,2725
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2021,2293
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2022,2531
Fylde Borough Council,Household - other sources (not recycled) (tonnes),2023,2935
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2014,13764
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2015,12236
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2016,13194
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2017,12944
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2018,13616
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2019,13973
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2020,15898
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2021,15462
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2022,15862
Fylde Borough Council,Household - regular collection (not recycled) (tonnes),2023,15538
Fylde Borough Council,Household - total waste (tonnes),2014,31709
Fylde Borough Council,Household - total waste (tonnes),2015,32311
Fylde Borough Council,Household - total waste (tonnes),2016,32656
Fylde Borough Council,Household - total waste (tonnes),2017,31328
Fylde Borough Council,Household - total waste (tonnes),2018,31123
Fylde Borough Council,Household - total waste (tonnes),2019,32118
Fylde Borough Council,Household - total waste (tonnes),2020,35087
Fylde Borough Council,Household - total waste (tonnes),2021,33093
Fylde Borough Council,Household - total waste (tonnes),2022,32009
Fylde Borough Council,Household - total waste (tonnes),2023,33325
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2014,15846
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2015,15371
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2016,16164
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2017,16459
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2018,17199
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2019,17210
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2020,19357
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2021,18406
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2022,18873
Fylde Borough Council,Household - waste not sent for recycling (tonnes),2023,19267
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,15863
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,16940
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,16491
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,14868
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,13924
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,14908
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,15730
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,14686
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,13136
Fylde Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,14057
Fylde Borough Council,Household dry recycling-reuse (tonnes),2014,8382
Fylde Borough Council,Household dry recycling-reuse (tonnes),2015,8694
Fylde Borough Council,Household dry recycling-reuse (tonnes),2016,8565
Fylde Borough Council,Household dry recycling-reuse (tonnes),2017,8247
Fylde Borough Council,Household dry recycling-reuse (tonnes),2018,7994
Fylde Borough Council,Household dry recycling-reuse (tonnes),2019,8743
Fylde Borough Council,Household dry recycling-reuse (tonnes),2020,9054
Fylde Borough Council,Household dry recycling-reuse (tonnes),2021,8582
Fylde Borough Council,Household dry recycling-reuse (tonnes),2022,7871
Fylde Borough Council,Household dry recycling-reuse (tonnes),2023,7657
Fylde Borough Council,Household green recycling-reuse (tonnes),2014,7482
Fylde Borough Council,Household green recycling-reuse (tonnes),2015,8246
Fylde Borough Council,Household green recycling-reuse (tonnes),2016,7926
Fylde Borough Council,Household green recycling-reuse (tonnes),2017,6621
Fylde Borough Council,Household green recycling-reuse (tonnes),2018,5931
Fylde Borough Council,Household green recycling-reuse (tonnes),2019,6165
Fylde Borough Council,Household green recycling-reuse (tonnes),2020,6676
Fylde Borough Council,Household green recycling-reuse (tonnes),2021,6105
Fylde Borough Council,Household green recycling-reuse (tonnes),2022,5265
Fylde Borough Council,Household green recycling-reuse (tonnes),2023,6400
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2014,162
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2015,519
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2016,325
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2017,846
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2018,838
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2019,341
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2020,734
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2021,651
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2022,479
Fylde Borough Council,Local authority collected - estimated rejects (tonnes),2023,795
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,18108
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,17227
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,18752
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,19104
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,18896
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,18473
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,20894
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,19465
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,19921
Fylde Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,20160
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,16369
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,17574
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,16554
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,14877
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,13968
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,15055
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,15855
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,14802
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,13212
Fylde Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,14097
Fylde Borough Council,Non-household - estimated rejects (tonnes),2014,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2015,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2016,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2017,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2018,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2019,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2020,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2021,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2022,0
Fylde Borough Council,Non-household - estimated rejects (tonnes),2023,0
Fylde Borough Council,Non-household - total waste (tonnes),2014,2768
Fylde Borough Council,Non-household - total waste (tonnes),2015,2490
Fylde Borough Council,Non-household - total waste (tonnes),2016,2651
Fylde Borough Council,Non-household - total waste (tonnes),2017,2654
Fylde Borough Council,Non-household - total waste (tonnes),2018,1741
Fylde Borough Council,Non-household - total waste (tonnes),2019,1410
Fylde Borough Council,Non-household - total waste (tonnes),2020,1663
Fylde Borough Council,Non-household - total waste (tonnes),2021,1174
Fylde Borough Council,Non-household - total waste (tonnes),2022,1124
Fylde Borough Council,Non-household - total waste (tonnes),2023,933
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2014,2262
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2015,1856
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2016,2588
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2017,2645
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2018,1697
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2019,1263
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2020,1538
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2021,1059
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2022,1048
Fylde Borough Council,Non-household - waste not sent for recycling (tonnes),2023,893
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,506
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,634
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,63
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,9
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,44
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,147
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,126
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,115
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,76
Fylde Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,40
Fylde Borough Council,Total local authority collected waste (tonnes),2014,34477
Fylde Borough Council,Total local authority collected waste (tonnes),2015,34801
Fylde Borough Council,Total local authority collected waste (tonnes),2016,35307
Fylde Borough Council,Total local authority collected waste (tonnes),2017,33982
Fylde Borough Council,Total local authority collected waste (tonnes),2018,32864
Fylde Borough Council,Total local authority collected waste (tonnes),2019,33528
Fylde Borough Council,Total local authority collected waste (tonnes),2020,36750
Fylde Borough Council,Total local authority collected waste (tonnes),2021,34266
Fylde Borough Council,Total local authority collected waste (tonnes),2022,33133
Fylde Borough Council,Total local authority collected waste (tonnes),2023,34258
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Hyndburn Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,67
Hyndburn Borough Council,Household - estimated rejects (tonnes),2014,-12
Hyndburn Borough Council,Household - estimated rejects (tonnes),2015,4
Hyndburn Borough Council,Household - estimated rejects (tonnes),2016,0
Hyndburn Borough Council,Household - estimated rejects (tonnes),2017,0
Hyndburn Borough Council,Household - estimated rejects (tonnes),2018,16
Hyndburn Borough Council,Household - estimated rejects (tonnes),2019,67
Hyndburn Borough Council,Household - estimated rejects (tonnes),2020,86
Hyndburn Borough Council,Household - estimated rejects (tonnes),2021,703
Hyndburn Borough Council,Household - estimated rejects (tonnes),2022,669
Hyndburn Borough Council,Household - estimated rejects (tonnes),2023,696
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2014,1821
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2015,1658
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2016,278
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2017,264
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2018,175
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2019,197
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2020,187
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2021,115
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2022,123
Hyndburn Borough Council,Household - other sources (not recycled) (tonnes),2023,386
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2014,13726
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2015,14642
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2016,16071
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2017,14686
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2018,14222
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2019,14659
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2020,16093
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2021,15136
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2022,15637
Hyndburn Borough Council,Household - regular collection (not recycled) (tonnes),2023,15369
Hyndburn Borough Council,Household - total waste (tonnes),2014,23662
Hyndburn Borough Council,Household - total waste (tonnes),2015,24145
Hyndburn Borough Council,Household - total waste (tonnes),2016,24353
Hyndburn Borough Council,Household - total waste (tonnes),2017,22431
Hyndburn Borough Council,Household - total waste (tonnes),2018,21789
Hyndburn Borough Council,Household - total waste (tonnes),2019,22787
Hyndburn Borough Council,Household - total waste (tonnes),2020,25513
Hyndburn Borough Council,Household - total waste (tonnes),2021,23817
Hyndburn Borough Council,Household - total waste (tonnes),2022,23678
Hyndburn Borough Council,Household - total waste (tonnes),2023,24164
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2014,15535
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2015,16304
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2016,16349
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2017,14951
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2018,14414
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2019,14923
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2020,16366
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2021,15953
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2022,16430
Hyndburn Borough Council,Household - waste not sent for recycling (tonnes),2023,16518
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,8127
Hyndburn Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,7842
