Sum of Value,Year,Quarter,Month,Day,Range (groups),Range,Local Authority,Attribute
1038,2019,Qtr 3,September,1,25-34,25 to 29,Blackpool,offenders
834,2019,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffences
267,2019,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffenders
76600,2019,Qtr 3,September,1,25-34,25 to 29,Lancashire,Number of previous offences
4698,2019,Qtr 3,September,1,25-34,25 to 29,Lancashire,offenders
4376,2019,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffences
1327,2019,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffenders
15912,2019,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,Number of previous offences
636,2019,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,offenders
1212,2019,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffences
225,2019,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffenders
24843,2019,Qtr 3,September,1,25-34,30 to 34,Blackpool,Number of previous offences
1140,2019,Qtr 3,September,1,25-34,30 to 34,Blackpool,offenders
1164,2019,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffences
315,2019,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffenders
105220,2019,Qtr 3,September,1,25-34,30 to 34,Lancashire,Number of previous offences
4660,2019,Qtr 3,September,1,25-34,30 to 34,Lancashire,offenders
5886,2019,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffences
1353,2019,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffenders
17934,2019,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,Number of previous offences
477,2019,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,offenders
636,2019,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffences
186,2019,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffenders
25065,2019,Qtr 3,September,1,35-49,35 to 39,Blackpool,Number of previous offences
771,2019,Qtr 3,September,1,35-49,35 to 39,Blackpool,offenders
1053,2019,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffences
267,2019,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffenders
99362,2019,Qtr 3,September,1,35-49,35 to 39,Lancashire,Number of previous offences
3299,2019,Qtr 3,September,1,35-49,35 to 39,Lancashire,offenders
3716,2019,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffences
970,2019,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffenders
22905,2019,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,Number of previous offences
438,2019,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,offenders
708,2019,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffences
129,2019,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffenders
24618,2019,Qtr 3,September,1,35-49,40 to 44,Blackpool,Number of previous offences
708,2019,Qtr 3,September,1,35-49,40 to 44,Blackpool,offenders
735,2019,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffences
228,2019,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffenders
87637,2019,Qtr 3,September,1,35-49,40 to 44,Lancashire,Number of previous offences
2548,2019,Qtr 3,September,1,35-49,40 to 44,Lancashire,offenders
2470,2019,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffences
713,2019,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffenders
12822,2019,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,Number of previous offences
276,2019,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,offenders
276,2019,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffences
84,2019,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffenders
21714,2019,Qtr 3,September,1,35-49,45 to 49,Blackpool,Number of previous offences
459,2019,Qtr 3,September,1,35-49,45 to 49,Blackpool,offenders
525,2019,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffences
153,2019,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffenders
66985,2019,Qtr 3,September,1,35-49,45 to 49,Lancashire,Number of previous offences
1877,2019,Qtr 3,September,1,35-49,45 to 49,Lancashire,offenders
1656,2019,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffences
493,2019,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffenders
12900,2019,Qtr 3,September,1,50+,50+,Blackburn with Darwen,Number of previous offences
399,2019,Qtr 3,September,1,50+,50+,Blackburn with Darwen,offenders
327,2019,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffences
72,2019,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffenders
24003,2019,Qtr 3,September,1,50+,50+,Blackpool,Number of previous offences
708,2019,Qtr 3,September,1,50+,50+,Blackpool,offenders
342,2019,Qtr 3,September,1,50+,50+,Blackpool,reoffences
90,2019,Qtr 3,September,1,50+,50+,Blackpool,reoffenders
80539,2019,Qtr 3,September,1,50+,50+,Lancashire,Number of previous offences
2877,2019,Qtr 3,September,1,50+,50+,Lancashire,offenders
1588,2019,Qtr 3,September,1,50+,50+,Lancashire,reoffences
405,2019,Qtr 3,September,1,50+,50+,Lancashire,reoffenders
7798,2019,Qtr 3,September,1,Female,Female,Blackburn with Darwen,Number of previous offences
465,2019,Qtr 3,September,1,Female,Female,Blackburn with Darwen,offenders
426,2019,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffences
138,2019,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffenders
16372,2019,Qtr 3,September,1,Female,Female,Blackpool,Number of previous offences
1234,2019,Qtr 3,September,1,Female,Female,Blackpool,offenders
918,2019,Qtr 3,September,1,Female,Female,Blackpool,reoffences
233,2019,Qtr 3,September,1,Female,Female,Blackpool,reoffenders
64103,2019,Qtr 3,September,1,Female,Female,Lancashire,Number of previous offences
4323,2019,Qtr 3,September,1,Female,Female,Lancashire,offenders
3818,2019,Qtr 3,September,1,Female,Female,Lancashire,reoffences
969,2019,Qtr 3,September,1,Female,Female,Lancashire,reoffenders
92474,2019,Qtr 3,September,1,Male,Male,Blackburn with Darwen,Number of previous offences
3482,2019,Qtr 3,September,1,Male,Male,Blackburn with Darwen,offenders
4710,2019,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffences
1104,2019,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffenders
133178,2019,Qtr 3,September,1,Male,Male,Blackpool,Number of previous offences
4986,2019,Qtr 3,September,1,Male,Male,Blackpool,offenders
5331,2019,Qtr 3,September,1,Male,Male,Blackpool,reoffences
1468,2019,Qtr 3,September,1,Male,Male,Blackpool,reoffenders
496990,2019,Qtr 3,September,1,Male,Male,Lancashire,Number of previous offences
22177,2019,Qtr 3,September,1,Male,Male,Lancashire,offenders
22247,2019,Qtr 3,September,1,Male,Male,Lancashire,reoffences
6038,2019,Qtr 3,September,1,Male,Male,Lancashire,reoffenders
36,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,Number of previous offences
28,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,offenders
52,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffences
16,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffenders
208,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,Number of previous offences
84,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,offenders
296,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffences
32,2019,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffenders
1513,2019,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,Number of previous offences
324,2019,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,offenders
575,2019,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffences
144,2019,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffenders
1272,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,Number of previous offences
192,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,offenders
368,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffences
92,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffenders
1364,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,Number of previous offences
196,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,offenders
148,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffences
52,2019,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffenders
7523,2019,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,Number of previous offences
1201,2019,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,offenders
1601,2019,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffences
432,2019,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffenders
855,2020,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,Number of previous offences
201,2020,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,offenders
135,2020,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffences
51,2020,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffenders
2145,2020,Qtr 3,September,1,18-24,18 to 20,Blackpool,Number of previous offences
315,2020,Qtr 3,September,1,18-24,18 to 20,Blackpool,offenders
267,2020,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffences
84,2020,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffenders
6580,2020,Qtr 3,September,1,18-24,18 to 20,Lancashire,Number of previous offences
1372,2020,Qtr 3,September,1,18-24,18 to 20,Lancashire,offenders
947,2020,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffences
315,2020,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffenders
2289,2020,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,Number of previous offences
324,2020,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,offenders
423,2020,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffences
108,2020,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffenders
5832,2020,Qtr 3,September,1,18-24,21 to 24,Blackpool,Number of previous offences
501,2020,Qtr 3,September,1,18-24,21 to 24,Blackpool,offenders
336,2020,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffences
132,2020,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffenders
19105,2020,Qtr 3,September,1,18-24,21 to 24,Lancashire,Number of previous offences
2180,2020,Qtr 3,September,1,18-24,21 to 24,Lancashire,offenders
2164,2020,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffences
572,2020,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffenders
8058,2020,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,Number of previous offences
543,2020,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,offenders
435,2020,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffences
132,2020,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffenders
12735,2020,Qtr 3,September,1,25-34,25 to 29,Blackpool,Number of previous offences
690,2020,Qtr 3,September,1,25-34,25 to 29,Blackpool,offenders
519,2020,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffences
171,2020,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffenders
55153,2020,Qtr 3,September,1,25-34,25 to 29,Lancashire,Number of previous offences
3414,2020,Qtr 3,September,1,25-34,25 to 29,Lancashire,offenders
2664,2020,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffences
791,2020,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffenders
16005,2020,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,Number of previous offences
552,2020,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,offenders
837,2020,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffences
201,2020,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffenders
17976,2020,Qtr 3,September,1,25-34,30 to 34,Blackpool,Number of previous offences
804,2020,Qtr 3,September,1,25-34,30 to 34,Blackpool,offenders
1008,2020,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffences
243,2020,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffenders
76061,2020,Qtr 3,September,1,25-34,30 to 34,Lancashire,Number of previous offences
3575,2020,Qtr 3,September,1,25-34,30 to 34,Lancashire,offenders
3423,2020,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffences
946,2020,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffenders
18093,2020,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,Number of previous offences
486,2020,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,offenders
735,2020,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffences
168,2020,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffenders
26202,2020,Qtr 3,September,1,35-49,35 to 39,Blackpool,Number of previous offences
816,2020,Qtr 3,September,1,35-49,35 to 39,Blackpool,offenders
606,2020,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffences
222,2020,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffenders
81854,2020,Qtr 3,September,1,35-49,35 to 39,Lancashire,Number of previous offences
2876,2020,Qtr 3,September,1,35-49,35 to 39,Lancashire,offenders
2493,2020,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffences
760,2020,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffenders
19302,2020,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,Number of previous offences
351,2020,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,offenders
699,2020,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffences
147,2020,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffenders
16398,2020,Qtr 3,September,1,35-49,40 to 44,Blackpool,Number of previous offences
474,2020,Qtr 3,September,1,35-49,40 to 44,Blackpool,offenders
300,2020,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffences
117,2020,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffenders
68675,2020,Qtr 3,September,1,35-49,40 to 44,Lancashire,Number of previous offences
1961,2020,Qtr 3,September,1,35-49,40 to 44,Lancashire,offenders
1524,2020,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffences
481,2020,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffenders
10842,2020,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,Number of previous offences
228,2020,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,offenders
261,2020,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffences
81,2020,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffenders
15225,2020,Qtr 3,September,1,35-49,45 to 49,Blackpool,Number of previous offences
369,2020,Qtr 3,September,1,35-49,45 to 49,Blackpool,offenders
219,2020,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffences
84,2020,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffenders
52996,2020,Qtr 3,September,1,35-49,45 to 49,Lancashire,Number of previous offences
1477,2020,Qtr 3,September,1,35-49,45 to 49,Lancashire,offenders
934,2020,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffences
298,2020,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffenders
16488,2020,Qtr 3,September,1,50+,50+,Blackburn with Darwen,Number of previous offences
312,2020,Qtr 3,September,1,50+,50+,Blackburn with Darwen,offenders
444,2020,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffences
81,2020,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffenders
14295,2020,Qtr 3,September,1,50+,50+,Blackpool,Number of previous offences
552,2020,Qtr 3,September,1,50+,50+,Blackpool,offenders
219,2020,Qtr 3,September,1,50+,50+,Blackpool,reoffences
69,2020,Qtr 3,September,1,50+,50+,Blackpool,reoffenders
67915,2020,Qtr 3,September,1,50+,50+,Lancashire,Number of previous offences
2253,2020,Qtr 3,September,1,50+,50+,Lancashire,offenders
941,2020,Qtr 3,September,1,50+,50+,Lancashire,reoffences
338,2020,Qtr 3,September,1,50+,50+,Lancashire,reoffenders
7650,2020,Qtr 3,September,1,Female,Female,Blackburn with Darwen,Number of previous offences
405,2020,Qtr 3,September,1,Female,Female,Blackburn with Darwen,offenders
237,2020,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffences
96,2020,Qtr 3,September,1,Female,Female,Blackburn with Darwen,reoffenders
12919,2020,Qtr 3,September,1,Female,Female,Blackpool,Number of previous offences
845,2020,Qtr 3,September,1,Female,Female,Blackpool,offenders
581,2020,Qtr 3,September,1,Female,Female,Blackpool,reoffences
175,2020,Qtr 3,September,1,Female,Female,Blackpool,reoffenders
49696,2020,Qtr 3,September,1,Female,Female,Lancashire,Number of previous offences
3355,2020,Qtr 3,September,1,Female,Female,Lancashire,offenders
1990,2020,Qtr 3,September,1,Female,Female,Lancashire,reoffences
628,2020,Qtr 3,September,1,Female,Female,Lancashire,reoffenders
84970,2020,Qtr 3,September,1,Male,Male,Blackburn with Darwen,Number of previous offences
2712,2020,Qtr 3,September,1,Male,Male,Blackburn with Darwen,offenders
3960,2020,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffences
917,2020,Qtr 3,September,1,Male,Male,Blackburn with Darwen,reoffenders
99549,2020,Qtr 3,September,1,Male,Male,Blackpool,Number of previous offences
4032,2020,Qtr 3,September,1,Male,Male,Blackpool,offenders
3325,2020,Qtr 3,September,1,Male,Male,Blackpool,reoffences
1075,2020,Qtr 3,September,1,Male,Male,Blackpool,reoffenders
383050,2020,Qtr 3,September,1,Male,Male,Lancashire,Number of previous offences
16863,2020,Qtr 3,September,1,Male,Male,Lancashire,offenders
14417,2020,Qtr 3,September,1,Male,Male,Lancashire,reoffences
4248,2020,Qtr 3,September,1,Male,Male,Lancashire,reoffenders
172,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,Number of previous offences
32,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,offenders
136,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffences
24,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackburn with Darwen,reoffenders
352,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,Number of previous offences
76,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,offenders
76,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffences
24,2020,Qtr 3,September,1,Under 18s,10 to 14,Blackpool,reoffenders
651,2020,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,Number of previous offences
191,2020,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,offenders
185,2020,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffences
64,2020,Qtr 3,September,1,Under 18s,10 to 14,Lancashire,reoffenders
516,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,Number of previous offences
100,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,offenders
92,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffences
20,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackburn with Darwen,reoffenders
1308,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,Number of previous offences
280,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,offenders
356,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffences
104,2020,Qtr 3,September,1,Under 18s,15 to 17,Blackpool,reoffenders
3756,2020,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,Number of previous offences
919,2020,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,offenders
1132,2020,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffences
311,2020,Qtr 3,September,1,Under 18s,15 to 17,Lancashire,reoffenders
1056,2021,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,Number of previous offences
198,2021,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,offenders
114,2021,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffences
42,2021,Qtr 3,September,1,18-24,18 to 20,Blackburn with Darwen,reoffenders
2103,2021,Qtr 3,September,1,18-24,18 to 20,Blackpool,Number of previous offences
363,2021,Qtr 3,September,1,18-24,18 to 20,Blackpool,offenders
360,2021,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffences
126,2021,Qtr 3,September,1,18-24,18 to 20,Blackpool,reoffenders
6954,2021,Qtr 3,September,1,18-24,18 to 20,Lancashire,Number of previous offences
1642,2021,Qtr 3,September,1,18-24,18 to 20,Lancashire,offenders
1496,2021,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffences
419,2021,Qtr 3,September,1,18-24,18 to 20,Lancashire,reoffenders
2658,2021,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,Number of previous offences
432,2021,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,offenders
501,2021,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffences
123,2021,Qtr 3,September,1,18-24,21 to 24,Blackburn with Darwen,reoffenders
4623,2021,Qtr 3,September,1,18-24,21 to 24,Blackpool,Number of previous offences
513,2021,Qtr 3,September,1,18-24,21 to 24,Blackpool,offenders
573,2021,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffences
156,2021,Qtr 3,September,1,18-24,21 to 24,Blackpool,reoffenders
21750,2021,Qtr 3,September,1,18-24,21 to 24,Lancashire,Number of previous offences
2775,2021,Qtr 3,September,1,18-24,21 to 24,Lancashire,offenders
2446,2021,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffences
654,2021,Qtr 3,September,1,18-24,21 to 24,Lancashire,reoffenders
7803,2021,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,Number of previous offences
582,2021,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,offenders
429,2021,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffences
132,2021,Qtr 3,September,1,25-34,25 to 29,Blackburn with Darwen,reoffenders
14595,2021,Qtr 3,September,1,25-34,25 to 29,Blackpool,Number of previous offences
909,2021,Qtr 3,September,1,25-34,25 to 29,Blackpool,offenders
849,2021,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffences
261,2021,Qtr 3,September,1,25-34,25 to 29,Blackpool,reoffenders
58148,2021,Qtr 3,September,1,25-34,25 to 29,Lancashire,Number of previous offences
3992,2021,Qtr 3,September,1,25-34,25 to 29,Lancashire,offenders
3984,2021,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffences
1115,2021,Qtr 3,September,1,25-34,25 to 29,Lancashire,reoffenders
16557,2021,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,Number of previous offences
690,2021,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,offenders
1365,2021,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffences
243,2021,Qtr 3,September,1,25-34,30 to 34,Blackburn with Darwen,reoffenders
22254,2021,Qtr 3,September,1,25-34,30 to 34,Blackpool,Number of previous offences
1074,2021,Qtr 3,September,1,25-34,30 to 34,Blackpool,offenders
1068,2021,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffences
348,2021,Qtr 3,September,1,25-34,30 to 34,Blackpool,reoffenders
88981,2021,Qtr 3,September,1,25-34,30 to 34,Lancashire,Number of previous offences
4404,2021,Qtr 3,September,1,25-34,30 to 34,Lancashire,offenders
4588,2021,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffences
1226,2021,Qtr 3,September,1,25-34,30 to 34,Lancashire,reoffenders
18726,2021,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,Number of previous offences
540,2021,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,offenders
777,2021,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffences
174,2021,Qtr 3,September,1,35-49,35 to 39,Blackburn with Darwen,reoffenders
21501,2021,Qtr 3,September,1,35-49,35 to 39,Blackpool,Number of previous offences
705,2021,Qtr 3,September,1,35-49,35 to 39,Blackpool,offenders
765,2021,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffences
234,2021,Qtr 3,September,1,35-49,35 to 39,Blackpool,reoffenders
88832,2021,Qtr 3,September,1,35-49,35 to 39,Lancashire,Number of previous offences
3388,2021,Qtr 3,September,1,35-49,35 to 39,Lancashire,offenders
3205,2021,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffences
916,2021,Qtr 3,September,1,35-49,35 to 39,Lancashire,reoffenders
19092,2021,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,Number of previous offences
402,2021,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,offenders
753,2021,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffences
120,2021,Qtr 3,September,1,35-49,40 to 44,Blackburn with Darwen,reoffenders
21702,2021,Qtr 3,September,1,35-49,40 to 44,Blackpool,Number of previous offences
576,2021,Qtr 3,September,1,35-49,40 to 44,Blackpool,offenders
591,2021,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffences
180,2021,Qtr 3,September,1,35-49,40 to 44,Blackpool,reoffenders
76055,2021,Qtr 3,September,1,35-49,40 to 44,Lancashire,Number of previous offences
2378,2021,Qtr 3,September,1,35-49,40 to 44,Lancashire,offenders
2257,2021,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffences
664,2021,Qtr 3,September,1,35-49,40 to 44,Lancashire,reoffenders
14223,2021,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,Number of previous offences
327,2021,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,offenders
417,2021,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffences
108,2021,Qtr 3,September,1,35-49,45 to 49,Blackburn with Darwen,reoffenders
19908,2021,Qtr 3,September,1,35-49,45 to 49,Blackpool,Number of previous offences
417,2021,Qtr 3,September,1,35-49,45 to 49,Blackpool,offenders
261,2021,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffences
84,2021,Qtr 3,September,1,35-49,45 to 49,Blackpool,reoffenders
57280,2021,Qtr 3,September,1,35-49,45 to 49,Lancashire,Number of previous offences
1766,2021,Qtr 3,September,1,35-49,45 to 49,Lancashire,offenders
1144,2021,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffences
340,2021,Qtr 3,September,1,35-49,45 to 49,Lancashire,reoffenders
17673,2021,Qtr 3,September,1,50+,50+,Blackburn with Darwen,Number of previous offences
387,2021,Qtr 3,September,1,50+,50+,Blackburn with Darwen,offenders
318,2021,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffences
69,2021,Qtr 3,September,1,50+,50+,Blackburn with Darwen,reoffenders
16521,2021,Qtr 3,September,1,50+,50+,Blackpool,Number of previous offences
651,2021,Qtr 3,September,1,50+,50+,Blackpool,offenders
153,2021,Qtr 3,September,1,50+,50+,Blackpool,reoffences
72,2021,Qtr 3,September,1,50+,50+,Blackpool,reoffenders
76888,2021,Qtr 3,September,1,50+,50+,Lancashire,Number of previous offences
2716,2021,Qtr 3,September,1,50+,50+,Lancashire,offenders
1024,2021,Qtr 3,September,1,50+,50+,Lancashire,reoffences
338,2021,Qtr 3,September,1,50+,50+,Lancashire,reoffenders
7134,2021,Qtr 3,September,1,Female,Female,Blackburn with Darwen,Number of previous offences
