Local Authority,Sex,Statistics,Time period,Indicator Name,Age,Sum of Value
Blackburn with Darwen,Female,Count,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,69
Blackburn with Darwen,Female,Count,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,70
Blackburn with Darwen,Female,Count,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,80
Blackburn with Darwen,Female,Count,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,70
Blackburn with Darwen,Female,Count,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,75
Blackburn with Darwen,Female,Count,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,60
Blackburn with Darwen,Female,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,75
Blackburn with Darwen,Female,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,65
Blackburn with Darwen,Female,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,45
Blackburn with Darwen,Female,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,40
Blackburn with Darwen,Female,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,221287
Blackburn with Darwen,Female,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,222271
Blackburn with Darwen,Female,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,223326
Blackburn with Darwen,Female,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,224186
Blackburn with Darwen,Female,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,225108
Blackburn with Darwen,Female,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,226149
Blackburn with Darwen,Female,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,227753
Blackburn with Darwen,Female,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,229105
Blackburn with Darwen,Female,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,230653
Blackburn with Darwen,Female,Denominator,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,231873
Blackburn with Darwen,Female,Denominator,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,233332
Blackburn with Darwen,Female,Denominator,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,234655
Blackburn with Darwen,Female,Denominator,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,236905
Blackburn with Darwen,Female,Denominator,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,240165
Blackburn with Darwen,Female,Lower CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,22.54898
Blackburn with Darwen,Female,Lower CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,23.03852
Blackburn with Darwen,Female,Lower CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,26.41568
Blackburn with Darwen,Female,Lower CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,24.58994
Blackburn with Darwen,Female,Lower CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,25.41109
Blackburn with Darwen,Female,Lower CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,22.22776
Blackburn with Darwen,Female,Lower CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,20.26627
Blackburn with Darwen,Female,Lower CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,168.1
Blackburn with Darwen,Female,Lower CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,18.73624
Blackburn with Darwen,Female,Lower CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,199.8
Blackburn with Darwen,Female,Lower CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,20.32864
Blackburn with Darwen,Female,Lower CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,158.4
Blackburn with Darwen,Female,Lower CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,23.67929
Blackburn with Darwen,Female,Lower CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,137
Blackburn with Darwen,Female,Lower CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,21.10213
Blackburn with Darwen,Female,Lower CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,184.1
Blackburn with Darwen,Female,Lower CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,19.52806
Blackburn with Darwen,Female,Lower CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,240.8
Blackburn with Darwen,Female,Lower CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,13.0911
Blackburn with Darwen,Female,Lower CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,267.8
Blackburn with Darwen,Female,Lower CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,11.47156
Blackburn with Darwen,Female,Lower CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,19.79576
Blackburn with Darwen,Female,Lower CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,22.86402
Blackburn with Darwen,Female,Lower CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,21.13155
Blackburn with Darwen,Female,Lower CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,21.89422
Blackburn with Darwen,Female,Lower CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,19.00174
Blackburn with Darwen,Female,Lower CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,17.24471
Blackburn with Darwen,Female,Lower CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,15.86435
Blackburn with Darwen,Female,Lower CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,17.34228
Blackburn with Darwen,Female,Lower CI 99.8 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,20.45107
Blackburn with Darwen,Female,Lower CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,18.04794
Blackburn with Darwen,Female,Lower CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,16.60943
Blackburn with Darwen,Female,Lower CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,10.73435
Blackburn with Darwen,Female,Lower CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,9.30085
Blackburn with Darwen,Female,Upper CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,36.96588
Blackburn with Darwen,Female,Upper CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,37.41994
Blackburn with Darwen,Female,Upper CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,41.97869
Blackburn with Darwen,Female,Upper CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,39.89963
Blackburn with Darwen,Female,Upper CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,40.92465
Blackburn with Darwen,Female,Upper CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,36.64621
Blackburn with Darwen,Female,Upper CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,33.88629
Blackburn with Darwen,Female,Upper CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,288.1
Blackburn with Darwen,Female,Upper CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,31.77207
Blackburn with Darwen,Female,Upper CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,337
Blackburn with Darwen,Female,Upper CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,33.73149
Blackburn with Darwen,Female,Upper CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,282.4
Blackburn with Darwen,Female,Upper CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,37.89512
Blackburn with Darwen,Female,Upper CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,251.9
Blackburn with Darwen,Female,Upper CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,34.75264
Blackburn with Darwen,Female,Upper CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,310.6
Blackburn with Darwen,Female,Upper CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,32.68415
Blackburn with Darwen,Female,Upper CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,381.6
Blackburn with Darwen,Female,Upper CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,24.3276
Blackburn with Darwen,Female,Upper CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,418.1
Blackburn with Darwen,Female,Upper CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,21.99839
Blackburn with Darwen,Female,Upper CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,42.29265
Blackburn with Darwen,Female,Upper CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,47.21477
Blackburn with Darwen,Female,Upper CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,45.08133
Blackburn with Darwen,Female,Upper CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,46.1645
Blackburn with Darwen,Female,Upper CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,41.55346
Blackburn with Darwen,Female,Upper CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,38.54453
Blackburn with Darwen,Female,Upper CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,36.24827
Blackburn with Darwen,Female,Upper CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,38.30402
Blackburn with Darwen,Female,Upper CI 99.8 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,42.69184
Blackburn with Darwen,Female,Upper CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,39.39852
Blackburn with Darwen,Female,Upper CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,37.18373
Blackburn with Darwen,Female,Upper CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,28.29286
Blackburn with Darwen,Female,Upper CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,25.74736
Blackburn with Darwen,Female,Value,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,29.11269
Blackburn with Darwen,Female,Value,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,29.59522
Blackburn with Darwen,Female,Value,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,33.54268
Blackburn with Darwen,Female,Value,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,31.57457
Blackburn with Darwen,Female,Value,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,32.498
Blackburn with Darwen,Female,Value,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,28.7826
Blackburn with Darwen,Female,Value,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,26.43876
Blackburn with Darwen,Female,Value,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,222.6
Blackburn with Darwen,Female,Value,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,24.62888
Blackburn with Darwen,Female,Value,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,261.9
Blackburn with Darwen,Female,Value,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,26.41246
Blackburn with Darwen,Female,Value,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,214.4
Blackburn with Darwen,Female,Value,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,30.17749
Blackburn with Darwen,Female,Value,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,188.8
Blackburn with Darwen,Female,Value,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,27.30785
Blackburn with Darwen,Female,Value,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,241.5
Blackburn with Darwen,Female,Value,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,25.49031
Blackburn with Darwen,Female,Value,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,305.1
Blackburn with Darwen,Female,Value,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,18.07983
Blackburn with Darwen,Female,Value,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,336.5
Blackburn with Darwen,Female,Value,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,16.11642
Blackburn with Darwen,Male,Count,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,406
Blackburn with Darwen,Male,Count,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,420
Blackburn with Darwen,Male,Count,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,435
Blackburn with Darwen,Male,Count,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,385
Blackburn with Darwen,Male,Count,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,325
Blackburn with Darwen,Male,Count,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,265
Blackburn with Darwen,Male,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,260
Blackburn with Darwen,Male,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,285
Blackburn with Darwen,Male,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,315
Blackburn with Darwen,Male,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,310
Blackburn with Darwen,Male,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,320
Blackburn with Darwen,Male,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,285
Blackburn with Darwen,Male,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,245
Blackburn with Darwen,Male,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,175
Blackburn with Darwen,Male,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,219533
Blackburn with Darwen,Male,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,220884
Blackburn with Darwen,Male,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,222011
Blackburn with Darwen,Male,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,223073
Blackburn with Darwen,Male,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,224109
Blackburn with Darwen,Male,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,225417
Blackburn with Darwen,Male,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,226546
Blackburn with Darwen,Male,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,227491
Blackburn with Darwen,Male,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,228512
Blackburn with Darwen,Male,Denominator,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,229544
Blackburn with Darwen,Male,Denominator,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,230252
Blackburn with Darwen,Male,Denominator,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,231131
Blackburn with Darwen,Male,Denominator,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,233506
Blackburn with Darwen,Male,Denominator,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,237832
Blackburn with Darwen,Male,Lower CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,152.94272
Blackburn with Darwen,Male,Lower CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,157.32164
Blackburn with Darwen,Male,Lower CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,164.45255
Blackburn with Darwen,Male,Lower CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,144.88858
Blackburn with Darwen,Male,Lower CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,120.86393
Blackburn with Darwen,Male,Lower CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,96.85545
Blackburn with Darwen,Male,Lower CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,96.32079
Blackburn with Darwen,Male,Lower CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,159.2
Blackburn with Darwen,Male,Lower CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,105.82385
Blackburn with Darwen,Male,Lower CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,191.3
Blackburn with Darwen,Male,Lower CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,118.73023
Blackburn with Darwen,Male,Lower CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,180.4
Blackburn with Darwen,Male,Lower CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,118.2475
Blackburn with Darwen,Male,Lower CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,192.6
Blackburn with Darwen,Male,Lower CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,121.25206
Blackburn with Darwen,Male,Lower CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,212.2
Blackburn with Darwen,Male,Lower CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,108.02944
Blackburn with Darwen,Male,Lower CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,230.3
Blackburn with Darwen,Male,Lower CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,89.52769
Blackburn with Darwen,Male,Lower CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,259.5
Blackburn with Darwen,Male,Lower CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,61.85634
Blackburn with Darwen,Male,Lower CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,148.4322
Blackburn with Darwen,Male,Lower CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,155.28709
Blackburn with Darwen,Male,Lower CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,136.32001
Blackburn with Darwen,Male,Lower CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,113.04608
Blackburn with Darwen,Male,Lower CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,89.92927
Blackburn with Darwen,Male,Lower CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,89.38977
Blackburn with Darwen,Male,Lower CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,98.53617
Blackburn with Darwen,Male,Lower CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,110.96485
Blackburn with Darwen,Male,Lower CI 99.8 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,110.47048
Blackburn with Darwen,Male,Lower CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,113.37931
Blackburn with Darwen,Male,Lower CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,100.63699
Blackburn with Darwen,Male,Lower CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,82.88071
Blackburn with Darwen,Male,Lower CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,56.42013
Blackburn with Darwen,Male,Upper CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,186.68466
Blackburn with Darwen,Male,Upper CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,191.29347
Blackburn with Darwen,Male,Upper CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,199.4266
Blackburn with Darwen,Male,Upper CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,177.77947
Blackburn with Darwen,Male,Upper CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,151.16712
Blackburn with Darwen,Male,Upper CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,124.03222
Blackburn with Darwen,Male,Upper CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,123.54319
Blackburn with Darwen,Male,Upper CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,253.1
Blackburn with Darwen,Male,Upper CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,134.29477
Blackburn with Darwen,Male,Upper CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,298.7
Blackburn with Darwen,Male,Upper CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,148.88487
Blackburn with Darwen,Male,Upper CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,285.2
Blackburn with Darwen,Male,Upper CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,148.46434
Blackburn with Darwen,Male,Upper CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,293.6
Blackburn with Darwen,Male,Upper CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,151.79551
Blackburn with Darwen,Male,Upper CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,310.5
Blackburn with Darwen,Male,Upper CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,136.88483
Blackburn with Darwen,Male,Upper CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,332.4
Blackburn with Darwen,Male,Upper CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,115.73618
Blackburn with Darwen,Male,Upper CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,372.4
Blackburn with Darwen,Male,Upper CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,83.81276
Blackburn with Darwen,Male,Upper CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,201.7809
Blackburn with Darwen,Male,Upper CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,210.21252
Blackburn with Darwen,Male,Upper CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,187.96334
Blackburn with Darwen,Male,Upper CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,160.61081
Blackburn with Darwen,Male,Upper CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,132.56991
Blackburn with Darwen,Male,Upper CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,132.10069
Blackburn with Darwen,Male,Upper CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,143.21353
Blackburn with Darwen,Male,Upper CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,158.29357
Blackburn with Darwen,Male,Upper CI 99.8 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,157.89595
Blackburn with Darwen,Male,Upper CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,161.31973
Blackburn with Darwen,Male,Upper CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,145.91891
Blackburn with Darwen,Male,Upper CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,123.99587
Blackburn with Darwen,Male,Upper CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,90.84039
Blackburn with Darwen,Male,Value,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,169.19331
Blackburn with Darwen,Male,Value,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,173.69421
Blackburn with Darwen,Male,Value,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,181.31769
Blackburn with Darwen,Male,Value,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,160.71378
Blackburn with Darwen,Male,Value,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,135.39066
Blackburn with Darwen,Male,Value,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,109.82379
Blackburn with Darwen,Male,Value,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,109.30612
Blackburn with Darwen,Male,Value,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,202.5
Blackburn with Darwen,Male,Value,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,119.43199
Blackburn with Darwen,Male,Value,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,240.8
Blackburn with Darwen,Male,Value,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,133.17587
Blackburn with Darwen,Male,Value,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,228.7
Blackburn with Darwen,Male,Value,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,132.71987
Blackburn with Darwen,Male,Value,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,239.4
