Region name,Transaction,Year,Sum of Value
Blackburn with Darwen,Balance of primary incomes,1997,1220
Blackburn with Darwen,Balance of primary incomes,1998,1237
Blackburn with Darwen,Balance of primary incomes,1999,1303
Blackburn with Darwen,Balance of primary incomes,2000,1375
Blackburn with Darwen,Balance of primary incomes,2001,1393
Blackburn with Darwen,Balance of primary incomes,2002,1400
Blackburn with Darwen,Balance of primary incomes,2003,1441
Blackburn with Darwen,Balance of primary incomes,2004,1506
Blackburn with Darwen,Balance of primary incomes,2005,1618
Blackburn with Darwen,Balance of primary incomes,2006,1683
Blackburn with Darwen,Balance of primary incomes,2007,1749
Blackburn with Darwen,Balance of primary incomes,2008,1691
Blackburn with Darwen,Balance of primary incomes,2009,1658
Blackburn with Darwen,Balance of primary incomes,2010,1819
Blackburn with Darwen,Balance of primary incomes,2011,1748
Blackburn with Darwen,Balance of primary incomes,2012,1712
Blackburn with Darwen,Balance of primary incomes,2013,1738
Blackburn with Darwen,Balance of primary incomes,2014,1781
Blackburn with Darwen,Balance of primary incomes,2015,1839
Blackburn with Darwen,Balance of primary incomes,2016,1859
Blackburn with Darwen,Balance of primary incomes,2017,1988
Blackburn with Darwen,Balance of primary incomes,2018,2102
Blackburn with Darwen,Balance of primary incomes,2019,2269
Blackburn with Darwen,Balance of primary incomes,2020,2315
Blackburn with Darwen,Balance of primary incomes,2021,2476
Blackburn with Darwen,Balance of primary incomes,2022,2716
Blackburn with Darwen,Balance of secondary income,1997,-66
Blackburn with Darwen,Balance of secondary income,1998,-76
Blackburn with Darwen,Balance of secondary income,1999,-86
Blackburn with Darwen,Balance of secondary income,2000,-157
Blackburn with Darwen,Balance of secondary income,2001,-132
Blackburn with Darwen,Balance of secondary income,2002,-135
Blackburn with Darwen,Balance of secondary income,2003,-112
Blackburn with Darwen,Balance of secondary income,2004,-126
Blackburn with Darwen,Balance of secondary income,2005,-161
Blackburn with Darwen,Balance of secondary income,2006,-167
Blackburn with Darwen,Balance of secondary income,2007,-197
Blackburn with Darwen,Balance of secondary income,2008,-133
Blackburn with Darwen,Balance of secondary income,2009,-48
Blackburn with Darwen,Balance of secondary income,2010,-147
Blackburn with Darwen,Balance of secondary income,2011,-76
Blackburn with Darwen,Balance of secondary income,2012,-11
Blackburn with Darwen,Balance of secondary income,2013,-22
Blackburn with Darwen,Balance of secondary income,2014,-4
Blackburn with Darwen,Balance of secondary income,2015,-14
Blackburn with Darwen,Balance of secondary income,2016,-5
Blackburn with Darwen,Balance of secondary income,2017,-47
Blackburn with Darwen,Balance of secondary income,2018,-67
Blackburn with Darwen,Balance of secondary income,2019,-124
Blackburn with Darwen,Balance of secondary income,2020,-67
Blackburn with Darwen,Balance of secondary income,2021,-139
Blackburn with Darwen,Balance of secondary income,2022,-241
Blackburn with Darwen,Compensation of employees,1997,821
Blackburn with Darwen,Compensation of employees,1998,825
Blackburn with Darwen,Compensation of employees,1999,860
Blackburn with Darwen,Compensation of employees,2000,893
Blackburn with Darwen,Compensation of employees,2001,928
Blackburn with Darwen,Compensation of employees,2002,930
Blackburn with Darwen,Compensation of employees,2003,967
Blackburn with Darwen,Compensation of employees,2004,1014
Blackburn with Darwen,Compensation of employees,2005,1083
Blackburn with Darwen,Compensation of employees,2006,1139
Blackburn with Darwen,Compensation of employees,2007,1178
Blackburn with Darwen,Compensation of employees,2008,1160
Blackburn with Darwen,Compensation of employees,2009,1129
Blackburn with Darwen,Compensation of employees,2010,1221
Blackburn with Darwen,Compensation of employees,2011,1192
Blackburn with Darwen,Compensation of employees,2012,1179
Blackburn with Darwen,Compensation of employees,2013,1173
Blackburn with Darwen,Compensation of employees,2014,1207
Blackburn with Darwen,Compensation of employees,2015,1239
Blackburn with Darwen,Compensation of employees,2016,1269
Blackburn with Darwen,Compensation of employees,2017,1377
Blackburn with Darwen,Compensation of employees,2018,1472
Blackburn with Darwen,Compensation of employees,2019,1613
Blackburn with Darwen,Compensation of employees,2020,1705
Blackburn with Darwen,Compensation of employees,2021,1804
Blackburn with Darwen,Compensation of employees,2022,1940
Blackburn with Darwen,"Current taxes on income, wealth etc",1997,149
Blackburn with Darwen,"Current taxes on income, wealth etc",1998,161
Blackburn with Darwen,"Current taxes on income, wealth etc",1999,161
Blackburn with Darwen,"Current taxes on income, wealth etc",2000,166
Blackburn with Darwen,"Current taxes on income, wealth etc",2001,173
Blackburn with Darwen,"Current taxes on income, wealth etc",2002,173
Blackburn with Darwen,"Current taxes on income, wealth etc",2003,184
Blackburn with Darwen,"Current taxes on income, wealth etc",2004,192
Blackburn with Darwen,"Current taxes on income, wealth etc",2005,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2006,214
Blackburn with Darwen,"Current taxes on income, wealth etc",2007,220
Blackburn with Darwen,"Current taxes on income, wealth etc",2008,225
Blackburn with Darwen,"Current taxes on income, wealth etc",2009,211
Blackburn with Darwen,"Current taxes on income, wealth etc",2010,218
Blackburn with Darwen,"Current taxes on income, wealth etc",2011,215
Blackburn with Darwen,"Current taxes on income, wealth etc",2012,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2013,200
Blackburn with Darwen,"Current taxes on income, wealth etc",2014,203
Blackburn with Darwen,"Current taxes on income, wealth etc",2015,205
Blackburn with Darwen,"Current taxes on income, wealth etc",2016,206
Blackburn with Darwen,"Current taxes on income, wealth etc",2017,235
Blackburn with Darwen,"Current taxes on income, wealth etc",2018,254
Blackburn with Darwen,"Current taxes on income, wealth etc",2019,272
Blackburn with Darwen,"Current taxes on income, wealth etc",2020,284
Blackburn with Darwen,"Current taxes on income, wealth etc",2021,321
Blackburn with Darwen,"Current taxes on income, wealth etc",2022,357
Blackburn with Darwen,Gross Disposable Income,1997,1154
Blackburn with Darwen,Gross Disposable Income,1998,1161
Blackburn with Darwen,Gross Disposable Income,1999,1216
Blackburn with Darwen,Gross Disposable Income,2000,1218
Blackburn with Darwen,Gross Disposable Income,2001,1261
Blackburn with Darwen,Gross Disposable Income,2002,1264
Blackburn with Darwen,Gross Disposable Income,2003,1330
Blackburn with Darwen,Gross Disposable Income,2004,1380
Blackburn with Darwen,Gross Disposable Income,2005,1457
Blackburn with Darwen,Gross Disposable Income,2006,1515
Blackburn with Darwen,Gross Disposable Income,2007,1551
Blackburn with Darwen,Gross Disposable Income,2008,1558
Blackburn with Darwen,Gross Disposable Income,2009,1610
Blackburn with Darwen,Gross Disposable Income,2010,1673
Blackburn with Darwen,Gross Disposable Income,2011,1672
Blackburn with Darwen,Gross Disposable Income,2012,1701
Blackburn with Darwen,Gross Disposable Income,2013,1716
Blackburn with Darwen,Gross Disposable Income,2014,1777
Blackburn with Darwen,Gross Disposable Income,2015,1825
Blackburn with Darwen,Gross Disposable Income,2016,1854
Blackburn with Darwen,Gross Disposable Income,2017,1942
Blackburn with Darwen,Gross Disposable Income,2018,2036
Blackburn with Darwen,Gross Disposable Income,2019,2145
Blackburn with Darwen,Gross Disposable Income,2020,2248
Blackburn with Darwen,Gross Disposable Income,2021,2337
Blackburn with Darwen,Gross Disposable Income,2022,2475
Blackburn with Darwen,Imputed social contributions/Social benefits received,1997,365
Blackburn with Darwen,Imputed social contributions/Social benefits received,1998,372
Blackburn with Darwen,Imputed social contributions/Social benefits received,1999,392
Blackburn with Darwen,Imputed social contributions/Social benefits received,2000,379
Blackburn with Darwen,Imputed social contributions/Social benefits received,2001,392
Blackburn with Darwen,Imputed social contributions/Social benefits received,2002,403
Blackburn with Darwen,Imputed social contributions/Social benefits received,2003,448
Blackburn with Darwen,Imputed social contributions/Social benefits received,2004,479
Blackburn with Darwen,Imputed social contributions/Social benefits received,2005,512
Blackburn with Darwen,Imputed social contributions/Social benefits received,2006,535
Blackburn with Darwen,Imputed social contributions/Social benefits received,2007,547
Blackburn with Darwen,Imputed social contributions/Social benefits received,2008,581
Blackburn with Darwen,Imputed social contributions/Social benefits received,2009,640
Blackburn with Darwen,Imputed social contributions/Social benefits received,2010,664
Blackburn with Darwen,Imputed social contributions/Social benefits received,2011,671
Blackburn with Darwen,Imputed social contributions/Social benefits received,2012,688
Blackburn with Darwen,Imputed social contributions/Social benefits received,2013,690
Blackburn with Darwen,Imputed social contributions/Social benefits received,2014,688
Blackburn with Darwen,Imputed social contributions/Social benefits received,2015,696
Blackburn with Darwen,Imputed social contributions/Social benefits received,2016,715
Blackburn with Darwen,Imputed social contributions/Social benefits received,2017,714
Blackburn with Darwen,Imputed social contributions/Social benefits received,2018,738
Blackburn with Darwen,Imputed social contributions/Social benefits received,2019,730
Blackburn with Darwen,Imputed social contributions/Social benefits received,2020,785
Blackburn with Darwen,Imputed social contributions/Social benefits received,2021,812
Blackburn with Darwen,Imputed social contributions/Social benefits received,2022,837
Blackburn with Darwen,Mixed income,1997,85
Blackburn with Darwen,Mixed income,1998,88
Blackburn with Darwen,Mixed income,1999,96
Blackburn with Darwen,Mixed income,2000,96
Blackburn with Darwen,Mixed income,2001,100
Blackburn with Darwen,Mixed income,2002,109
Blackburn with Darwen,Mixed income,2003,110
Blackburn with Darwen,Mixed income,2004,112
Blackburn with Darwen,Mixed income,2005,120
Blackburn with Darwen,Mixed income,2006,127
Blackburn with Darwen,Mixed income,2007,123
Blackburn with Darwen,Mixed income,2008,123
Blackburn with Darwen,Mixed income,2009,123
Blackburn with Darwen,Mixed income,2010,130
Blackburn with Darwen,Mixed income,2011,132
Blackburn with Darwen,Mixed income,2012,129
Blackburn with Darwen,Mixed income,2013,134
Blackburn with Darwen,Mixed income,2014,142
Blackburn with Darwen,Mixed income,2015,148
Blackburn with Darwen,Mixed income,2016,151
Blackburn with Darwen,Mixed income,2017,167
Blackburn with Darwen,Mixed income,2018,171
Blackburn with Darwen,Mixed income,2019,188
Blackburn with Darwen,Mixed income,2020,195
Blackburn with Darwen,Mixed income,2021,195
Blackburn with Darwen,Mixed income,2022,197
Blackburn with Darwen,Operating surplus,1997,133
Blackburn with Darwen,Operating surplus,1998,139
Blackburn with Darwen,Operating surplus,1999,159
Blackburn with Darwen,Operating surplus,2000,156
Blackburn with Darwen,Operating surplus,2001,146
Blackburn with Darwen,Operating surplus,2002,136
Blackburn with Darwen,Operating surplus,2003,137
Blackburn with Darwen,Operating surplus,2004,148
Blackburn with Darwen,Operating surplus,2005,154
Blackburn with Darwen,Operating surplus,2006,170
Blackburn with Darwen,Operating surplus,2007,178
Blackburn with Darwen,Operating surplus,2008,191
Blackburn with Darwen,Operating surplus,2009,173
Blackburn with Darwen,Operating surplus,2010,155
Blackburn with Darwen,Operating surplus,2011,157
Blackburn with Darwen,Operating surplus,2012,165
Blackburn with Darwen,Operating surplus,2013,165
Blackburn with Darwen,Operating surplus,2014,175
Blackburn with Darwen,Operating surplus,2015,175
Blackburn with Darwen,Operating surplus,2016,182
Blackburn with Darwen,Operating surplus,2017,186
Blackburn with Darwen,Operating surplus,2018,206
Blackburn with Darwen,Operating surplus,2019,209
Blackburn with Darwen,Operating surplus,2020,204
Blackburn with Darwen,Operating surplus,2021,209
Blackburn with Darwen,Operating surplus,2022,227
Blackburn with Darwen,"Other current transfers, paid",1997,29
Blackburn with Darwen,"Other current transfers, paid",1998,28
Blackburn with Darwen,"Other current transfers, paid",1999,29
Blackburn with Darwen,"Other current transfers, paid",2000,28
Blackburn with Darwen,"Other current transfers, paid",2001,40
Blackburn with Darwen,"Other current transfers, paid",2002,41
Blackburn with Darwen,"Other current transfers, paid",2003,46
Blackburn with Darwen,"Other current transfers, paid",2004,51
Blackburn with Darwen,"Other current transfers, paid",2005,56
Blackburn with Darwen,"Other current transfers, paid",2006,44
Blackburn with Darwen,"Other current transfers, paid",2007,59
Blackburn with Darwen,"Other current transfers, paid",2008,59
Blackburn with Darwen,"Other current transfers, paid",2009,58
Blackburn with Darwen,"Other current transfers, paid",2010,59
Blackburn with Darwen,"Other current transfers, paid",2011,67
Blackburn with Darwen,"Other current transfers, paid",2012,70
Blackburn with Darwen,"Other current transfers, paid",2013,71
Blackburn with Darwen,"Other current transfers, paid",2014,76
Blackburn with Darwen,"Other current transfers, paid",2015,72
Blackburn with Darwen,"Other current transfers, paid",2016,74
Blackburn with Darwen,"Other current transfers, paid",2017,76
Blackburn with Darwen,"Other current transfers, paid",2018,78
Blackburn with Darwen,"Other current transfers, paid",2019,79
Blackburn with Darwen,"Other current transfers, paid",2020,81
Blackburn with Darwen,"Other current transfers, paid",2021,79
Blackburn with Darwen,"Other current transfers, paid",2022,82
Blackburn with Darwen,"Other current transfers, received",1997,22
Blackburn with Darwen,"Other current transfers, received",1998,20
Blackburn with Darwen,"Other current transfers, received",1999,22
Blackburn with Darwen,"Other current transfers, received",2000,20
Blackburn with Darwen,"Other current transfers, received",2001,32
Blackburn with Darwen,"Other current transfers, received",2002,30
Blackburn with Darwen,"Other current transfers, received",2003,33
Blackburn with Darwen,"Other current transfers, received",2004,35
Blackburn with Darwen,"Other current transfers, received",2005,39
Blackburn with Darwen,"Other current transfers, received",2006,27
Blackburn with Darwen,"Other current transfers, received",2007,43
Blackburn with Darwen,"Other current transfers, received",2008,40
Blackburn with Darwen,"Other current transfers, received",2009,34
Blackburn with Darwen,"Other current transfers, received",2010,30
Blackburn with Darwen,"Other current transfers, received",2011,42
Blackburn with Darwen,"Other current transfers, received",2012,53
Blackburn with Darwen,"Other current transfers, received",2013,48
Blackburn with Darwen,"Other current transfers, received",2014,55
Blackburn with Darwen,"Other current transfers, received",2015,51
Blackburn with Darwen,"Other current transfers, received",2016,50
Blackburn with Darwen,"Other current transfers, received",2017,52
Blackburn with Darwen,"Other current transfers, received",2018,56
Blackburn with Darwen,"Other current transfers, received",2019,55
Blackburn with Darwen,"Other current transfers, received",2020,55
Blackburn with Darwen,"Other current transfers, received",2021,44
Blackburn with Darwen,"Other current transfers, received",2022,64
Blackburn with Darwen,Primary resources total,1997,1266
Blackburn with Darwen,Primary resources total,1998,1288
Blackburn with Darwen,Primary resources total,1999,1355
Blackburn with Darwen,Primary resources total,2000,1434
Blackburn with Darwen,Primary resources total,2001,1445
Blackburn with Darwen,Primary resources total,2002,1444
Blackburn with Darwen,Primary resources total,2003,1487
Blackburn with Darwen,Primary resources total,2004,1569
Blackburn with Darwen,Primary resources total,2005,1689
Blackburn with Darwen,Primary resources total,2006,1758
Blackburn with Darwen,Primary resources total,2007,1849
Blackburn with Darwen,Primary resources total,2008,1819
Blackburn with Darwen,Primary resources total,2009,1704
Blackburn with Darwen,Primary resources total,2010,1848
Blackburn with Darwen,Primary resources total,2011,1781
Blackburn with Darwen,Primary resources total,2012,1743
Blackburn with Darwen,Primary resources total,2013,1765
Blackburn with Darwen,Primary resources total,2014,1812
Blackburn with Darwen,Primary resources total,2015,1873
Blackburn with Darwen,Primary resources total,2016,1896
Blackburn with Darwen,Primary resources total,2017,2018
Blackburn with Darwen,Primary resources total,2018,2142
Blackburn with Darwen,Primary resources total,2019,2303
Blackburn with Darwen,Primary resources total,2020,2337
Blackburn with Darwen,Primary resources total,2021,2502
Blackburn with Darwen,Primary resources total,2022,2766
Blackburn with Darwen,Primary uses total,1997,46
Blackburn with Darwen,Primary uses total,1998,51
Blackburn with Darwen,Primary uses total,1999,52
Blackburn with Darwen,Primary uses total,2000,59
Blackburn with Darwen,Primary uses total,2001,52
Blackburn with Darwen,Primary uses total,2002,45
Blackburn with Darwen,Primary uses total,2003,46
Blackburn with Darwen,Primary uses total,2004,63
Blackburn with Darwen,Primary uses total,2005,71
Blackburn with Darwen,Primary uses total,2006,76
Blackburn with Darwen,Primary uses total,2007,101
Blackburn with Darwen,Primary uses total,2008,129
Blackburn with Darwen,Primary uses total,2009,47
Blackburn with Darwen,Primary uses total,2010,29
Blackburn with Darwen,Primary uses total,2011,33
Blackburn with Darwen,Primary uses total,2012,31
Blackburn with Darwen,Primary uses total,2013,26
Blackburn with Darwen,Primary uses total,2014,31
Blackburn with Darwen,Primary uses total,2015,34
Blackburn with Darwen,Primary uses total,2016,37
Blackburn with Darwen,Primary uses total,2017,29
Blackburn with Darwen,Primary uses total,2018,39
Blackburn with Darwen,Primary uses total,2019,34
Blackburn with Darwen,Primary uses total,2020,23
Blackburn with Darwen,Primary uses total,2021,26
Blackburn with Darwen,Primary uses total,2022,50
Blackburn with Darwen,"Property income, paid",1997,46
Blackburn with Darwen,"Property income, paid",1998,51
Blackburn with Darwen,"Property income, paid",1999,52
Blackburn with Darwen,"Property income, paid",2000,59
Blackburn with Darwen,"Property income, paid",2001,52
Blackburn with Darwen,"Property income, paid",2002,45
Blackburn with Darwen,"Property income, paid",2003,46
Blackburn with Darwen,"Property income, paid",2004,63
Blackburn with Darwen,"Property income, paid",2005,71
Blackburn with Darwen,"Property income, paid",2006,76
Blackburn with Darwen,"Property income, paid",2007,101
Blackburn with Darwen,"Property income, paid",2008,129
Blackburn with Darwen,"Property income, paid",2009,47
Blackburn with Darwen,"Property income, paid",2010,29
Blackburn with Darwen,"Property income, paid",2011,33
Blackburn with Darwen,"Property income, paid",2012,31
Blackburn with Darwen,"Property income, paid",2013,26
Blackburn with Darwen,"Property income, paid",2014,31
Blackburn with Darwen,"Property income, paid",2015,34
Blackburn with Darwen,"Property income, paid",2016,37
Blackburn with Darwen,"Property income, paid",2017,29
Blackburn with Darwen,"Property income, paid",2018,39
Blackburn with Darwen,"Property income, paid",2019,34
Blackburn with Darwen,"Property income, paid",2020,23
Blackburn with Darwen,"Property income, paid",2021,26
Blackburn with Darwen,"Property income, paid",2022,50
Blackburn with Darwen,"Property income, received",1997,227
Blackburn with Darwen,"Property income, received",1998,237
Blackburn with Darwen,"Property income, received",1999,240
Blackburn with Darwen,"Property income, received",2000,289
Blackburn with Darwen,"Property income, received",2001,271
Blackburn with Darwen,"Property income, received",2002,270
Blackburn with Darwen,"Property income, received",2003,273
Blackburn with Darwen,"Property income, received",2004,296
Blackburn with Darwen,"Property income, received",2005,331
Blackburn with Darwen,"Property income, received",2006,323
Blackburn with Darwen,"Property income, received",2007,371
Blackburn with Darwen,"Property income, received",2008,346
Blackburn with Darwen,"Property income, received",2009,279
Blackburn with Darwen,"Property income, received",2010,343
Blackburn with Darwen,"Property income, received",2011,301
Blackburn with Darwen,"Property income, received",2012,270
Blackburn with Darwen,"Property income, received",2013,291
Blackburn with Darwen,"Property income, received",2014,289
Blackburn with Darwen,"Property income, received",2015,311
Blackburn with Darwen,"Property income, received",2016,294
Blackburn with Darwen,"Property income, received",2017,288
Blackburn with Darwen,"Property income, received",2018,292
Blackburn with Darwen,"Property income, received",2019,293
Blackburn with Darwen,"Property income, received",2020,234
Blackburn with Darwen,"Property income, received",2021,293
Blackburn with Darwen,"Property income, received",2022,401
Blackburn with Darwen,Secondary resources total,1997,387
Blackburn with Darwen,Secondary resources total,1998,392
Blackburn with Darwen,Secondary resources total,1999,413
Blackburn with Darwen,Secondary resources total,2000,399
Blackburn with Darwen,Secondary resources total,2001,424
Blackburn with Darwen,Secondary resources total,2002,433
Blackburn with Darwen,Secondary resources total,2003,481
Blackburn with Darwen,Secondary resources total,2004,514
Blackburn with Darwen,Secondary resources total,2005,551
Blackburn with Darwen,Secondary resources total,2006,561
Blackburn with Darwen,Secondary resources total,2007,590
Blackburn with Darwen,Secondary resources total,2008,621
Blackburn with Darwen,Secondary resources total,2009,673
Blackburn with Darwen,Secondary resources total,2010,694
Blackburn with Darwen,Secondary resources total,2011,713
Blackburn with Darwen,Secondary resources total,2012,741
Blackburn with Darwen,Secondary resources total,2013,738
Blackburn with Darwen,Secondary resources total,2014,743
Blackburn with Darwen,Secondary resources total,2015,747
Blackburn with Darwen,Secondary resources total,2016,765
Blackburn with Darwen,Secondary resources total,2017,766
Blackburn with Darwen,Secondary resources total,2018,794
Blackburn with Darwen,Secondary resources total,2019,785
Blackburn with Darwen,Secondary resources total,2020,840
Blackburn with Darwen,Secondary resources total,2021,856
Blackburn with Darwen,Secondary resources total,2022,901
Blackburn with Darwen,Secondary uses total,1997,454
Blackburn with Darwen,Secondary uses total,1998,467
Blackburn with Darwen,Secondary uses total,1999,500
Blackburn with Darwen,Secondary uses total,2000,556
Blackburn with Darwen,Secondary uses total,2001,556
Blackburn with Darwen,Secondary uses total,2002,568
Blackburn with Darwen,Secondary uses total,2003,592
Blackburn with Darwen,Secondary uses total,2004,639
Blackburn with Darwen,Secondary uses total,2005,712
Blackburn with Darwen,Secondary uses total,2006,729
Blackburn with Darwen,Secondary uses total,2007,787
Blackburn with Darwen,Secondary uses total,2008,754
Blackburn with Darwen,Secondary uses total,2009,721
Blackburn with Darwen,Secondary uses total,2010,840
Blackburn with Darwen,Secondary uses total,2011,790
Blackburn with Darwen,Secondary uses total,2012,753
Blackburn with Darwen,Secondary uses total,2013,760
Blackburn with Darwen,Secondary uses total,2014,748
Blackburn with Darwen,Secondary uses total,2015,761
Blackburn with Darwen,Secondary uses total,2016,770
Blackburn with Darwen,Secondary uses total,2017,813
Blackburn with Darwen,Secondary uses total,2018,861
Blackburn with Darwen,Secondary uses total,2019,910
Blackburn with Darwen,Secondary uses total,2020,907
Blackburn with Darwen,Secondary uses total,2021,995
Blackburn with Darwen,Secondary uses total,2022,1142
Blackburn with Darwen,Social contributions/Social benefits paid,1997,275
Blackburn with Darwen,Social contributions/Social benefits paid,1998,278
Blackburn with Darwen,Social contributions/Social benefits paid,1999,310
Blackburn with Darwen,Social contributions/Social benefits paid,2000,362
Blackburn with Darwen,Social contributions/Social benefits paid,2001,343
Blackburn with Darwen,Social contributions/Social benefits paid,2002,354
Blackburn with Darwen,Social contributions/Social benefits paid,2003,361
Blackburn with Darwen,Social contributions/Social benefits paid,2004,396
Blackburn with Darwen,Social contributions/Social benefits paid,2005,453
Blackburn with Darwen,Social contributions/Social benefits paid,2006,470
Blackburn with Darwen,Social contributions/Social benefits paid,2007,508
Blackburn with Darwen,Social contributions/Social benefits paid,2008,469
Blackburn with Darwen,Social contributions/Social benefits paid,2009,452
Blackburn with Darwen,Social contributions/Social benefits paid,2010,564
Blackburn with Darwen,Social contributions/Social benefits paid,2011,508
Blackburn with Darwen,Social contributions/Social benefits paid,2012,480
Blackburn with Darwen,Social contributions/Social benefits paid,2013,489
Blackburn with Darwen,Social contributions/Social benefits paid,2014,469
Blackburn with Darwen,Social contributions/Social benefits paid,2015,485
Blackburn with Darwen,Social contributions/Social benefits paid,2016,489
Blackburn with Darwen,Social contributions/Social benefits paid,2017,502
Blackburn with Darwen,Social contributions/Social benefits paid,2018,529
Blackburn with Darwen,Social contributions/Social benefits paid,2019,558
Blackburn with Darwen,Social contributions/Social benefits paid,2020,542
Blackburn with Darwen,Social contributions/Social benefits paid,2021,595
Blackburn with Darwen,Social contributions/Social benefits paid,2022,703
Blackpool,Balance of primary incomes,1997,1472
Blackpool,Balance of primary incomes,1998,1494
Blackpool,Balance of primary incomes,1999,1462
Blackpool,Balance of primary incomes,2000,1598
Blackpool,Balance of primary incomes,2001,1637
Blackpool,Balance of primary incomes,2002,1650
Blackpool,Balance of primary incomes,2003,1586
Blackpool,Balance of primary incomes,2004,1593
Blackpool,Balance of primary incomes,2005,1624
Blackpool,Balance of primary incomes,2006,1662
Blackpool,Balance of primary incomes,2007,1776
Blackpool,Balance of primary incomes,2008,1801
Blackpool,Balance of primary incomes,2009,1801
Blackpool,Balance of primary incomes,2010,1860
Blackpool,Balance of primary incomes,2011,1895
Blackpool,Balance of primary incomes,2012,1819
Blackpool,Balance of primary incomes,2013,1843
Blackpool,Balance of primary incomes,2014,1868
Blackpool,Balance of primary incomes,2015,1966
Blackpool,Balance of primary incomes,2016,2022
Blackpool,Balance of primary incomes,2017,2127
Blackpool,Balance of primary incomes,2018,2171
Blackpool,Balance of primary incomes,2019,2250
Blackpool,Balance of primary incomes,2020,2197
Blackpool,Balance of primary incomes,2021,2320
Blackpool,Balance of primary incomes,2022,2501
Blackpool,Balance of secondary income,1997,-94
Blackpool,Balance of secondary income,1998,-112
Blackpool,Balance of secondary income,1999,-65
Blackpool,Balance of secondary income,2000,-102
Blackpool,Balance of secondary income,2001,-126
Blackpool,Balance of secondary income,2002,-122
Blackpool,Balance of secondary income,2003,-71
Blackpool,Balance of secondary income,2004,-42
Blackpool,Balance of secondary income,2005,-45
Blackpool,Balance of secondary income,2006,-46
Blackpool,Balance of secondary income,2007,-83
Blackpool,Balance of secondary income,2008,-77
Blackpool,Balance of secondary income,2009,2
Blackpool,Balance of secondary income,2010,-21
Blackpool,Balance of secondary income,2011,1
Blackpool,Balance of secondary income,2012,87
Blackpool,Balance of secondary income,2013,106
Blackpool,Balance of secondary income,2014,124
Blackpool,Balance of secondary income,2015,94
Blackpool,Balance of secondary income,2016,93
Blackpool,Balance of secondary income,2017,57
Blackpool,Balance of secondary income,2018,49
Blackpool,Balance of secondary income,2019,54
Blackpool,Balance of secondary income,2020,118
Blackpool,Balance of secondary income,2021,34
Blackpool,Balance of secondary income,2022,-34
Blackpool,Compensation of employees,1997,830
Blackpool,Compensation of employees,1998,863
Blackpool,Compensation of employees,1999,898
Blackpool,Compensation of employees,2000,932
Blackpool,Compensation of employees,2001,986
Blackpool,Compensation of employees,2002,996
Blackpool,Compensation of employees,2003,970
Blackpool,Compensation of employees,2004,999
Blackpool,Compensation of employees,2005,1024
Blackpool,Compensation of employees,2006,1069
Blackpool,Compensation of employees,2007,1153
Blackpool,Compensation of employees,2008,1188
Blackpool,Compensation of employees,2009,1169
Blackpool,Compensation of employees,2010,1184
Blackpool,Compensation of employees,2011,1267
Blackpool,Compensation of employees,2012,1216
Blackpool,Compensation of employees,2013,1204
Blackpool,Compensation of employees,2014,1236
Blackpool,Compensation of employees,2015,1293
Blackpool,Compensation of employees,2016,1357
Blackpool,Compensation of employees,2017,1427
Blackpool,Compensation of employees,2018,1491
Blackpool,Compensation of employees,2019,1550
Blackpool,Compensation of employees,2020,1552
Blackpool,Compensation of employees,2021,1633
Blackpool,Compensation of employees,2022,1730
Blackpool,"Current taxes on income, wealth etc",1997,156
Blackpool,"Current taxes on income, wealth etc",1998,174
Blackpool,"Current taxes on income, wealth etc",1999,183
Blackpool,"Current taxes on income, wealth etc",2000,185
Blackpool,"Current taxes on income, wealth etc",2001,189
Blackpool,"Current taxes on income, wealth etc",2002,183
Blackpool,"Current taxes on income, wealth etc",2003,185
Blackpool,"Current taxes on income, wealth etc",2004,198
Blackpool,"Current taxes on income, wealth etc",2005,206
Blackpool,"Current taxes on income, wealth etc",2006,213
Blackpool,"Current taxes on income, wealth etc",2007,234
Blackpool,"Current taxes on income, wealth etc",2008,243
Blackpool,"Current taxes on income, wealth etc",2009,226
Blackpool,"Current taxes on income, wealth etc",2010,224
Blackpool,"Current taxes on income, wealth etc",2011,249
Blackpool,"Current taxes on income, wealth etc",2012,214
Blackpool,"Current taxes on income, wealth etc",2013,195
Blackpool,"Current taxes on income, wealth etc",2014,204
Blackpool,"Current taxes on income, wealth etc",2015,203
Blackpool,"Current taxes on income, wealth etc",2016,211
Blackpool,"Current taxes on income, wealth etc",2017,232
Blackpool,"Current taxes on income, wealth etc",2018,245
Blackpool,"Current taxes on income, wealth etc",2019,250
Blackpool,"Current taxes on income, wealth etc",2020,247
Blackpool,"Current taxes on income, wealth etc",2021,278
Blackpool,"Current taxes on income, wealth etc",2022,310
Blackpool,Gross Disposable Income,1997,1378
Blackpool,Gross Disposable Income,1998,1382
Blackpool,Gross Disposable Income,1999,1397
Blackpool,Gross Disposable Income,2000,1496
Blackpool,Gross Disposable Income,2001,1511
Blackpool,Gross Disposable Income,2002,1528
Blackpool,Gross Disposable Income,2003,1515
Blackpool,Gross Disposable Income,2004,1551
Blackpool,Gross Disposable Income,2005,1579
Blackpool,Gross Disposable Income,2006,1617
Blackpool,Gross Disposable Income,2007,1693
Blackpool,Gross Disposable Income,2008,1724
Blackpool,Gross Disposable Income,2009,1803
