Local Authority,Age Range,Sex,Sum of Value
West Lancashire,Aged 0 - 15,Female,234262
West Lancashire,Aged 0 - 15,Male,251102
West Lancashire,Aged 0 - 15,Total,485364
West Lancashire,Aged 16 - 64,Female,874485
West Lancashire,Aged 16 - 64,Male,823720
West Lancashire,Aged 16 - 64,Total,1698205
West Lancashire,Aged 65 and over,Female,291363
West Lancashire,Aged 65 and over,Male,238890
West Lancashire,Aged 65 and over,Total,530253
Wyre,Aged 0 - 15,Female,208561
Wyre,Aged 0 - 15,Male,222677
Wyre,Aged 0 - 15,Total,431238
Wyre,Aged 16 - 64,Female,775074
Wyre,Aged 16 - 64,Male,749358
Wyre,Aged 16 - 64,Total,1524432
Wyre,Aged 65 and over,Female,371104
Wyre,Aged 65 and over,Male,297905
Wyre,Aged 65 and over,Total,669009
