Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
West Lancashire,10 percentile,Female,Weekly pay - gross,Confidence,160
West Lancashire,10 percentile,Female,Weekly pay - gross,Value,1174.3
Wyre,10 percentile,Female,Weekly pay - gross,Confidence,113.2
Wyre,10 percentile,Female,Weekly pay - gross,Value,1068.1
Blackburn with Darwen,10 percentile,Full Time Workers,Annual pay - gross,Confidence,118.4
Blackburn with Darwen,10 percentile,Full Time Workers,Annual pay - gross,Value,256238
Blackpool,10 percentile,Full Time Workers,Annual pay - gross,Confidence,64.5
Blackpool,10 percentile,Full Time Workers,Annual pay - gross,Value,184541
Burnley,10 percentile,Full Time Workers,Annual pay - gross,Confidence,119.1
Burnley,10 percentile,Full Time Workers,Annual pay - gross,Value,206851
Chorley,10 percentile,Full Time Workers,Annual pay - gross,Confidence,91.5
Chorley,10 percentile,Full Time Workers,Annual pay - gross,Value,226105
Fylde,10 percentile,Full Time Workers,Annual pay - gross,Confidence,176.3
Fylde,10 percentile,Full Time Workers,Annual pay - gross,Value,253536
Great Britain,10 percentile,Full Time Workers,Annual pay - gross,Confidence,7
Great Britain,10 percentile,Full Time Workers,Annual pay - gross,Value,303275
Hyndburn,10 percentile,Full Time Workers,Annual pay - gross,Confidence,127.5
Hyndburn,10 percentile,Full Time Workers,Annual pay - gross,Value,212710
Lancaster,10 percentile,Full Time Workers,Annual pay - gross,Confidence,115.1
Lancaster,10 percentile,Full Time Workers,Annual pay - gross,Value,260496
North West,10 percentile,Full Time Workers,Annual pay - gross,Confidence,21.7
North West,10 percentile,Full Time Workers,Annual pay - gross,Value,292492
Pendle,10 percentile,Full Time Workers,Annual pay - gross,Confidence,116.2
Pendle,10 percentile,Full Time Workers,Annual pay - gross,Value,212041
Preston,10 percentile,Full Time Workers,Annual pay - gross,Confidence,102.2
Preston,10 percentile,Full Time Workers,Annual pay - gross,Value,245299
Ribble Valley,10 percentile,Full Time Workers,Annual pay - gross,Confidence,164.4
Ribble Valley,10 percentile,Full Time Workers,Annual pay - gross,Value,244000
Rossendale,10 percentile,Full Time Workers,Annual pay - gross,Confidence,141.7
Rossendale,10 percentile,Full Time Workers,Annual pay - gross,Value,235414
South Ribble,10 percentile,Full Time Workers,Annual pay - gross,Confidence,117.7
South Ribble,10 percentile,Full Time Workers,Annual pay - gross,Value,284239
West Lancashire,10 percentile,Full Time Workers,Annual pay - gross,Confidence,137.3
West Lancashire,10 percentile,Full Time Workers,Annual pay - gross,Value,300789
Wyre,10 percentile,Full Time Workers,Annual pay - gross,Confidence,141.1
Wyre,10 percentile,Full Time Workers,Annual pay - gross,Value,228312
Blackburn with Darwen,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,42
