Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Great Britain,10 percentile,Total,Weekly pay - gross,Confidence,9.1
Great Britain,10 percentile,Total,Weekly pay - gross,Value,2723.9
Hyndburn,10 percentile,Total,Weekly pay - gross,Confidence,241.2
Hyndburn,10 percentile,Total,Weekly pay - gross,Value,2683
Lancaster,10 percentile,Total,Weekly pay - gross,Confidence,207.3
Lancaster,10 percentile,Total,Weekly pay - gross,Value,2379.9
North West,10 percentile,Total,Weekly pay - gross,Confidence,31.4
North West,10 percentile,Total,Weekly pay - gross,Value,2669.1
Pendle,10 percentile,Total,Weekly pay - gross,Confidence,203
Pendle,10 percentile,Total,Weekly pay - gross,Value,1829.3
Preston,10 percentile,Total,Weekly pay - gross,Confidence,240.3
Preston,10 percentile,Total,Weekly pay - gross,Value,2395.2
Ribble Valley,10 percentile,Total,Weekly pay - gross,Confidence,196
Ribble Valley,10 percentile,Total,Weekly pay - gross,Value,1998.8
Rossendale,10 percentile,Total,Weekly pay - gross,Confidence,147
Rossendale,10 percentile,Total,Weekly pay - gross,Value,1476.1
South Ribble,10 percentile,Total,Weekly pay - gross,Confidence,216.4
South Ribble,10 percentile,Total,Weekly pay - gross,Value,2691.9
West Lancashire,10 percentile,Total,Weekly pay - gross,Confidence,232.8
West Lancashire,10 percentile,Total,Weekly pay - gross,Value,2425.5
Wyre,10 percentile,Total,Weekly pay - gross,Confidence,230.1
Wyre,10 percentile,Total,Weekly pay - gross,Value,2320.2
Blackburn with Darwen,25 percentile,Female,Annual pay - gross,Confidence,218
Blackburn with Darwen,25 percentile,Female,Annual pay - gross,Value,152387
Blackpool,25 percentile,Female,Annual pay - gross,Confidence,168
Blackpool,25 percentile,Female,Annual pay - gross,Value,149475
Burnley,25 percentile,Female,Annual pay - gross,Confidence,188
Burnley,25 percentile,Female,Annual pay - gross,Value,153445
Chorley,25 percentile,Female,Annual pay - gross,Confidence,179
Chorley,25 percentile,Female,Annual pay - gross,Value,179202
Fylde,25 percentile,Female,Annual pay - gross,Confidence,197
Fylde,25 percentile,Female,Annual pay - gross,Value,144467
Great Britain,25 percentile,Female,Annual pay - gross,Confidence,12.7
Great Britain,25 percentile,Female,Annual pay - gross,Value,205857
Hyndburn,25 percentile,Female,Annual pay - gross,Confidence,176
Hyndburn,25 percentile,Female,Annual pay - gross,Value,139237
Lancaster,25 percentile,Female,Annual pay - gross,Confidence,199.8
Lancaster,25 percentile,Female,Annual pay - gross,Value,142306
North West,25 percentile,Female,Annual pay - gross,Confidence,46.3
North West,25 percentile,Female,Annual pay - gross,Value,203437
Pendle,25 percentile,Female,Annual pay - gross,Confidence,173
Pendle,25 percentile,Female,Annual pay - gross,Value,112255
Preston,25 percentile,Female,Annual pay - gross,Confidence,186.7
Preston,25 percentile,Female,Annual pay - gross,Value,145301
Ribble Valley,25 percentile,Female,Annual pay - gross,Confidence,198
Ribble Valley,25 percentile,Female,Annual pay - gross,Value,146142
Rossendale,25 percentile,Female,Annual pay - gross,Confidence,237
Rossendale,25 percentile,Female,Annual pay - gross,Value,148929
South Ribble,25 percentile,Female,Annual pay - gross,Confidence,205.6
South Ribble,25 percentile,Female,Annual pay - gross,Value,181391
West Lancashire,25 percentile,Female,Annual pay - gross,Confidence,220
West Lancashire,25 percentile,Female,Annual pay - gross,Value,170885
Wyre,25 percentile,Female,Annual pay - gross,Confidence,226
Wyre,25 percentile,Female,Annual pay - gross,Value,162555
Blackburn with Darwen,25 percentile,Female,Hourly pay - gross,Confidence,49.7
Blackburn with Darwen,25 percentile,Female,Hourly pay - gross,Value,150.81
Blackpool,25 percentile,Female,Hourly pay - gross,Confidence,37.5
Blackpool,25 percentile,Female,Hourly pay - gross,Value,147.83
Burnley,25 percentile,Female,Hourly pay - gross,Confidence,73.7
Burnley,25 percentile,Female,Hourly pay - gross,Value,151.24
Chorley,25 percentile,Female,Hourly pay - gross,Confidence,80.2
Chorley,25 percentile,Female,Hourly pay - gross,Value,164.86
Fylde,25 percentile,Female,Hourly pay - gross,Confidence,90.2
Fylde,25 percentile,Female,Hourly pay - gross,Value,159.43
Great Britain,25 percentile,Female,Hourly pay - gross,Confidence,2
Great Britain,25 percentile,Female,Hourly pay - gross,Value,161.44
Hyndburn,25 percentile,Female,Hourly pay - gross,Confidence,70.9
Hyndburn,25 percentile,Female,Hourly pay - gross,Value,153.25
Lancaster,25 percentile,Female,Hourly pay - gross,Confidence,51
Lancaster,25 percentile,Female,Hourly pay - gross,Value,152.36
North West,25 percentile,Female,Hourly pay - gross,Confidence,8.5
North West,25 percentile,Female,Hourly pay - gross,Value,156.88
Pendle,25 percentile,Female,Hourly pay - gross,Confidence,65.2
Pendle,25 percentile,Female,Hourly pay - gross,Value,152.98
Preston,25 percentile,Female,Hourly pay - gross,Confidence,50.9
Preston,25 percentile,Female,Hourly pay - gross,Value,151.72
Ribble Valley,25 percentile,Female,Hourly pay - gross,Confidence,104.8
Ribble Valley,25 percentile,Female,Hourly pay - gross,Value,163.32
Rossendale,25 percentile,Female,Hourly pay - gross,Confidence,76.8
Rossendale,25 percentile,Female,Hourly pay - gross,Value,155.1
South Ribble,25 percentile,Female,Hourly pay - gross,Confidence,59
South Ribble,25 percentile,Female,Hourly pay - gross,Value,157.97
West Lancashire,25 percentile,Female,Hourly pay - gross,Confidence,75.2
West Lancashire,25 percentile,Female,Hourly pay - gross,Value,158.33
Wyre,25 percentile,Female,Hourly pay - gross,Confidence,73
Wyre,25 percentile,Female,Hourly pay - gross,Value,159.04
Blackburn with Darwen,25 percentile,Female,Weekly pay - gross,Confidence,244.3
Blackburn with Darwen,25 percentile,Female,Weekly pay - gross,Value,3739.8
Blackpool,25 percentile,Female,Weekly pay - gross,Confidence,204.8
Blackpool,25 percentile,Female,Weekly pay - gross,Value,3756.3
Burnley,25 percentile,Female,Weekly pay - gross,Confidence,252.8
Burnley,25 percentile,Female,Weekly pay - gross,Value,3856.3
Chorley,25 percentile,Female,Weekly pay - gross,Confidence,216.8
Chorley,25 percentile,Female,Weekly pay - gross,Value,4223.7
Fylde,25 percentile,Female,Weekly pay - gross,Confidence,262
Fylde,25 percentile,Female,Weekly pay - gross,Value,3705.9
Great Britain,25 percentile,Female,Weekly pay - gross,Confidence,8.3
Great Britain,25 percentile,Female,Weekly pay - gross,Value,4054.1
Hyndburn,25 percentile,Female,Weekly pay - gross,Confidence,241
Hyndburn,25 percentile,Female,Weekly pay - gross,Value,4152.3
Lancaster,25 percentile,Female,Weekly pay - gross,Confidence,206.1
Lancaster,25 percentile,Female,Weekly pay - gross,Value,3492.8
North West,25 percentile,Female,Weekly pay - gross,Confidence,30.7
North West,25 percentile,Female,Weekly pay - gross,Value,3999.5
Pendle,25 percentile,Female,Weekly pay - gross,Confidence,212.4
Pendle,25 percentile,Female,Weekly pay - gross,Value,3397
Preston,25 percentile,Female,Weekly pay - gross,Confidence,216.2
Preston,25 percentile,Female,Weekly pay - gross,Value,3493.9
Ribble Valley,25 percentile,Female,Weekly pay - gross,Confidence,290
Ribble Valley,25 percentile,Female,Weekly pay - gross,Value,4195.6
Rossendale,25 percentile,Female,Weekly pay - gross,Confidence,239
Rossendale,25 percentile,Female,Weekly pay - gross,Value,3357.4
South Ribble,25 percentile,Female,Weekly pay - gross,Confidence,219
South Ribble,25 percentile,Female,Weekly pay - gross,Value,4163
West Lancashire,25 percentile,Female,Weekly pay - gross,Confidence,258
West Lancashire,25 percentile,Female,Weekly pay - gross,Value,3701.6
Wyre,25 percentile,Female,Weekly pay - gross,Confidence,248
Wyre,25 percentile,Female,Weekly pay - gross,Value,3762.1
Blackburn with Darwen,25 percentile,Full Time Workers,Annual pay - gross,Confidence,97.1
Blackburn with Darwen,25 percentile,Full Time Workers,Annual pay - gross,Value,315328
Blackpool,25 percentile,Full Time Workers,Annual pay - gross,Confidence,73.9
Blackpool,25 percentile,Full Time Workers,Annual pay - gross,Value,249751
Burnley,25 percentile,Full Time Workers,Annual pay - gross,Confidence,108.4
Burnley,25 percentile,Full Time Workers,Annual pay - gross,Value,309170
Chorley,25 percentile,Full Time Workers,Annual pay - gross,Confidence,129.7
Chorley,25 percentile,Full Time Workers,Annual pay - gross,Value,366351
Fylde,25 percentile,Full Time Workers,Annual pay - gross,Confidence,156.2
Fylde,25 percentile,Full Time Workers,Annual pay - gross,Value,353781
Great Britain,25 percentile,Full Time Workers,Annual pay - gross,Confidence,5.5
Great Britain,25 percentile,Full Time Workers,Annual pay - gross,Value,387792
Hyndburn,25 percentile,Full Time Workers,Annual pay - gross,Confidence,134.3
Hyndburn,25 percentile,Full Time Workers,Annual pay - gross,Value,318628
Lancaster,25 percentile,Full Time Workers,Annual pay - gross,Confidence,103.9
Lancaster,25 percentile,Full Time Workers,Annual pay - gross,Value,327780
North West,25 percentile,Full Time Workers,Annual pay - gross,Confidence,18
North West,25 percentile,Full Time Workers,Annual pay - gross,Value,367405
Pendle,25 percentile,Full Time Workers,Annual pay - gross,Confidence,114
Pendle,25 percentile,Full Time Workers,Annual pay - gross,Value,321744
Preston,25 percentile,Full Time Workers,Annual pay - gross,Confidence,91.4
Preston,25 percentile,Full Time Workers,Annual pay - gross,Value,337320
Ribble Valley,25 percentile,Full Time Workers,Annual pay - gross,Confidence,133.9
Ribble Valley,25 percentile,Full Time Workers,Annual pay - gross,Value,353469
Rossendale,25 percentile,Full Time Workers,Annual pay - gross,Confidence,107.5
Rossendale,25 percentile,Full Time Workers,Annual pay - gross,Value,329035
South Ribble,25 percentile,Full Time Workers,Annual pay - gross,Confidence,104.7
South Ribble,25 percentile,Full Time Workers,Annual pay - gross,Value,371800
West Lancashire,25 percentile,Full Time Workers,Annual pay - gross,Confidence,97.2
West Lancashire,25 percentile,Full Time Workers,Annual pay - gross,Value,363815
Wyre,25 percentile,Full Time Workers,Annual pay - gross,Confidence,125.8
Wyre,25 percentile,Full Time Workers,Annual pay - gross,Value,335623
Blackburn with Darwen,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,56
Blackburn with Darwen,25 percentile,Full Time Workers,Hourly pay - gross,Value,167.67
Blackpool,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,54.6
Blackpool,25 percentile,Full Time Workers,Hourly pay - gross,Value,159.73
Burnley,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,70.2
Burnley,25 percentile,Full Time Workers,Hourly pay - gross,Value,173.97
Chorley,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,88.2
Chorley,25 percentile,Full Time Workers,Hourly pay - gross,Value,192.92
Fylde,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,131.3
Fylde,25 percentile,Full Time Workers,Hourly pay - gross,Value,196.24
Great Britain,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,3.1
Great Britain,25 percentile,Full Time Workers,Hourly pay - gross,Value,191.44
Hyndburn,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,79.7
Hyndburn,25 percentile,Full Time Workers,Hourly pay - gross,Value,168.93
Lancaster,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,74.8
Lancaster,25 percentile,Full Time Workers,Hourly pay - gross,Value,177.11
North West,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,9.8
North West,25 percentile,Full Time Workers,Hourly pay - gross,Value,183.17
Pendle,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,89.8
Pendle,25 percentile,Full Time Workers,Hourly pay - gross,Value,169.98
Preston,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,67.9
Preston,25 percentile,Full Time Workers,Hourly pay - gross,Value,171.7
Ribble Valley,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,107.9
Ribble Valley,25 percentile,Full Time Workers,Hourly pay - gross,Value,198.45
Rossendale,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,85.4
Rossendale,25 percentile,Full Time Workers,Hourly pay - gross,Value,172.92
South Ribble,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,68.2
South Ribble,25 percentile,Full Time Workers,Hourly pay - gross,Value,183.98
West Lancashire,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,84.8
West Lancashire,25 percentile,Full Time Workers,Hourly pay - gross,Value,184.85
Wyre,25 percentile,Full Time Workers,Hourly pay - gross,Confidence,79.3
Wyre,25 percentile,Full Time Workers,Hourly pay - gross,Value,178.02
Blackburn with Darwen,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,66.5
Blackburn with Darwen,25 percentile,Full Time Workers,Weekly pay - gross,Value,6487.5
Blackpool,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,61.6
Blackpool,25 percentile,Full Time Workers,Weekly pay - gross,Value,6262.9
Burnley,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,74.4
Burnley,25 percentile,Full Time Workers,Weekly pay - gross,Value,6755.6
Chorley,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,87.5
Chorley,25 percentile,Full Time Workers,Weekly pay - gross,Value,7513.2
Fylde,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,133.1
Fylde,25 percentile,Full Time Workers,Weekly pay - gross,Value,7671.5
Great Britain,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,3.5
Great Britain,25 percentile,Full Time Workers,Weekly pay - gross,Value,7550.9
Hyndburn,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,89.6
Hyndburn,25 percentile,Full Time Workers,Weekly pay - gross,Value,6623.9
Lancaster,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,79.4
Lancaster,25 percentile,Full Time Workers,Weekly pay - gross,Value,7061.8
North West,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,10.8
North West,25 percentile,Full Time Workers,Weekly pay - gross,Value,7164.9
Pendle,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,99.9
Pendle,25 percentile,Full Time Workers,Weekly pay - gross,Value,6632.7
Preston,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,69.7
Preston,25 percentile,Full Time Workers,Weekly pay - gross,Value,6825.1
Ribble Valley,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,112.4
Ribble Valley,25 percentile,Full Time Workers,Weekly pay - gross,Value,7714.3
Rossendale,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,82.1
Rossendale,25 percentile,Full Time Workers,Weekly pay - gross,Value,6786
South Ribble,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,75.1
South Ribble,25 percentile,Full Time Workers,Weekly pay - gross,Value,7186.1
West Lancashire,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,89.5
West Lancashire,25 percentile,Full Time Workers,Weekly pay - gross,Value,7329.9
Wyre,25 percentile,Full Time Workers,Weekly pay - gross,Confidence,87.3
Wyre,25 percentile,Full Time Workers,Weekly pay - gross,Value,6914.6
Blackburn with Darwen,25 percentile,Male,Annual pay - gross,Confidence,137.9
Blackburn with Darwen,25 percentile,Male,Annual pay - gross,Value,263777
Blackpool,25 percentile,Male,Annual pay - gross,Confidence,135.8
Blackpool,25 percentile,Male,Annual pay - gross,Value,201085
Burnley,25 percentile,Male,Annual pay - gross,Confidence,154.7
Burnley,25 percentile,Male,Annual pay - gross,Value,294266
Chorley,25 percentile,Male,Annual pay - gross,Confidence,154.1
Chorley,25 percentile,Male,Annual pay - gross,Value,254282
Fylde,25 percentile,Male,Annual pay - gross,Confidence,203
Fylde,25 percentile,Male,Annual pay - gross,Value,285783
Great Britain,25 percentile,Male,Annual pay - gross,Confidence,7.8
Great Britain,25 percentile,Male,Annual pay - gross,Value,370887
Hyndburn,25 percentile,Male,Annual pay - gross,Confidence,185.5
Hyndburn,25 percentile,Male,Annual pay - gross,Value,279379
Lancaster,25 percentile,Male,Annual pay - gross,Confidence,148.2
Lancaster,25 percentile,Male,Annual pay - gross,Value,314817
North West,25 percentile,Male,Annual pay - gross,Confidence,29.1
North West,25 percentile,Male,Annual pay - gross,Value,350146
Pendle,25 percentile,Male,Annual pay - gross,Confidence,164.7
Pendle,25 percentile,Male,Annual pay - gross,Value,253590
Preston,25 percentile,Male,Annual pay - gross,Confidence,156.8
Preston,25 percentile,Male,Annual pay - gross,Value,278639
Ribble Valley,25 percentile,Male,Annual pay - gross,Confidence,214.4
Ribble Valley,25 percentile,Male,Annual pay - gross,Value,336382
Rossendale,25 percentile,Male,Annual pay - gross,Confidence,190.3
Rossendale,25 percentile,Male,Annual pay - gross,Value,255909
South Ribble,25 percentile,Male,Annual pay - gross,Confidence,151.9
South Ribble,25 percentile,Male,Annual pay - gross,Value,324652
West Lancashire,25 percentile,Male,Annual pay - gross,Confidence,163.3
West Lancashire,25 percentile,Male,Annual pay - gross,Value,324658
Wyre,25 percentile,Male,Annual pay - gross,Confidence,185
Wyre,25 percentile,Male,Annual pay - gross,Value,220344
Blackburn with Darwen,25 percentile,Male,Hourly pay - gross,Confidence,75.3
Blackburn with Darwen,25 percentile,Male,Hourly pay - gross,Value,163.35
Blackpool,25 percentile,Male,Hourly pay - gross,Confidence,62.7
Blackpool,25 percentile,Male,Hourly pay - gross,Value,151.26
Burnley,25 percentile,Male,Hourly pay - gross,Confidence,94.6
Burnley,25 percentile,Male,Hourly pay - gross,Value,168.78
Chorley,25 percentile,Male,Hourly pay - gross,Confidence,100.6
Chorley,25 percentile,Male,Hourly pay - gross,Value,181.29
Fylde,25 percentile,Male,Hourly pay - gross,Confidence,183
Fylde,25 percentile,Male,Hourly pay - gross,Value,194.61
Great Britain,25 percentile,Male,Hourly pay - gross,Confidence,3.2
Great Britain,25 percentile,Male,Hourly pay - gross,Value,184.79
Hyndburn,25 percentile,Male,Hourly pay - gross,Confidence,97.2
Hyndburn,25 percentile,Male,Hourly pay - gross,Value,165.11
Lancaster,25 percentile,Male,Hourly pay - gross,Confidence,84.7
Lancaster,25 percentile,Male,Hourly pay - gross,Value,174.14
North West,25 percentile,Male,Hourly pay - gross,Confidence,12.6
North West,25 percentile,Male,Hourly pay - gross,Value,176.59
Pendle,25 percentile,Male,Hourly pay - gross,Confidence,106.6
Pendle,25 percentile,Male,Hourly pay - gross,Value,167.35
Preston,25 percentile,Male,Hourly pay - gross,Confidence,82.5
Preston,25 percentile,Male,Hourly pay - gross,Value,164.73
Ribble Valley,25 percentile,Male,Hourly pay - gross,Confidence,142
Ribble Valley,25 percentile,Male,Hourly pay - gross,Value,198.59
Rossendale,25 percentile,Male,Hourly pay - gross,Confidence,98.9
Rossendale,25 percentile,Male,Hourly pay - gross,Value,167.42
South Ribble,25 percentile,Male,Hourly pay - gross,Confidence,91.2
South Ribble,25 percentile,Male,Hourly pay - gross,Value,185.68
West Lancashire,25 percentile,Male,Hourly pay - gross,Confidence,104.1
West Lancashire,25 percentile,Male,Hourly pay - gross,Value,178.86
Wyre,25 percentile,Male,Hourly pay - gross,Confidence,101.2
Wyre,25 percentile,Male,Hourly pay - gross,Value,167.61
Blackburn with Darwen,25 percentile,Male,Weekly pay - gross,Confidence,122.3
Blackburn with Darwen,25 percentile,Male,Weekly pay - gross,Value,5923.9
Blackpool,25 percentile,Male,Weekly pay - gross,Confidence,173.9
Blackpool,25 percentile,Male,Weekly pay - gross,Value,5277.6
Burnley,25 percentile,Male,Weekly pay - gross,Confidence,137.7
Burnley,25 percentile,Male,Weekly pay - gross,Value,6386.8
Chorley,25 percentile,Male,Weekly pay - gross,Confidence,151.8
Chorley,25 percentile,Male,Weekly pay - gross,Value,6740.4
Fylde,25 percentile,Male,Weekly pay - gross,Confidence,217
Fylde,25 percentile,Male,Weekly pay - gross,Value,6912.2
Great Britain,25 percentile,Male,Weekly pay - gross,Confidence,4.9
Great Britain,25 percentile,Male,Weekly pay - gross,Value,6966.7
Hyndburn,25 percentile,Male,Weekly pay - gross,Confidence,171.5
Hyndburn,25 percentile,Male,Weekly pay - gross,Value,6098.8
Lancaster,25 percentile,Male,Weekly pay - gross,Confidence,117
Lancaster,25 percentile,Male,Weekly pay - gross,Value,6453.3
North West,25 percentile,Male,Weekly pay - gross,Confidence,15.8
North West,25 percentile,Male,Weekly pay - gross,Value,6603.7
Pendle,25 percentile,Male,Weekly pay - gross,Confidence,189.1
Pendle,25 percentile,Male,Weekly pay - gross,Value,6194.8
Preston,25 percentile,Male,Weekly pay - gross,Confidence,128.6
Preston,25 percentile,Male,Weekly pay - gross,Value,6097
Ribble Valley,25 percentile,Male,Weekly pay - gross,Confidence,215.4
Ribble Valley,25 percentile,Male,Weekly pay - gross,Value,7481.3
Rossendale,25 percentile,Male,Weekly pay - gross,Confidence,163.3
Rossendale,25 percentile,Male,Weekly pay - gross,Value,6252.3
South Ribble,25 percentile,Male,Weekly pay - gross,Confidence,135.3
South Ribble,25 percentile,Male,Weekly pay - gross,Value,7010.1
West Lancashire,25 percentile,Male,Weekly pay - gross,Confidence,155.9
West Lancashire,25 percentile,Male,Weekly pay - gross,Value,6777.3
Wyre,25 percentile,Male,Weekly pay - gross,Confidence,217.6
Wyre,25 percentile,Male,Weekly pay - gross,Value,5837.1
Blackburn with Darwen,25 percentile,Part Time Workers,Annual pay - gross,Confidence,159
Blackburn with Darwen,25 percentile,Part Time Workers,Annual pay - gross,Value,75288
Blackpool,25 percentile,Part Time Workers,Annual pay - gross,Confidence,211
Blackpool,25 percentile,Part Time Workers,Annual pay - gross,Value,82523
Burnley,25 percentile,Part Time Workers,Annual pay - gross,Confidence,58
Burnley,25 percentile,Part Time Workers,Annual pay - gross,Value,21273
Chorley,25 percentile,Part Time Workers,Annual pay - gross,Confidence,176
Chorley,25 percentile,Part Time Workers,Annual pay - gross,Value,70924
Fylde,25 percentile,Part Time Workers,Annual pay - gross,Confidence,17
Fylde,25 percentile,Part Time Workers,Annual pay - gross,Value,4536
Great Britain,25 percentile,Part Time Workers,Annual pay - gross,Confidence,17.2
Great Britain,25 percentile,Part Time Workers,Annual pay - gross,Value,118395
Hyndburn,25 percentile,Part Time Workers,Annual pay - gross,Confidence,64
Hyndburn,25 percentile,Part Time Workers,Annual pay - gross,Value,27711
Lancaster,25 percentile,Part Time Workers,Annual pay - gross,Confidence,187
Lancaster,25 percentile,Part Time Workers,Annual pay - gross,Value,81053
North West,25 percentile,Part Time Workers,Annual pay - gross,Confidence,57.8
North West,25 percentile,Part Time Workers,Annual pay - gross,Value,117332
Pendle,25 percentile,Part Time Workers,Annual pay - gross,Confidence,33
Pendle,25 percentile,Part Time Workers,Annual pay - gross,Value,12734
Preston,25 percentile,Part Time Workers,Annual pay - gross,Confidence,168
Preston,25 percentile,Part Time Workers,Annual pay - gross,Value,66682
Ribble Valley,25 percentile,Part Time Workers,Annual pay - gross,Confidence,30
Ribble Valley,25 percentile,Part Time Workers,Annual pay - gross,Value,15239
Rossendale,25 percentile,Part Time Workers,Annual pay - gross,Confidence,109
Rossendale,25 percentile,Part Time Workers,Annual pay - gross,Value,43454
South Ribble,25 percentile,Part Time Workers,Annual pay - gross,Confidence,172
South Ribble,25 percentile,Part Time Workers,Annual pay - gross,Value,65148
West Lancashire,25 percentile,Part Time Workers,Annual pay - gross,Confidence,78.3
West Lancashire,25 percentile,Part Time Workers,Annual pay - gross,Value,32267
Wyre,25 percentile,Part Time Workers,Annual pay - gross,Confidence,127
Wyre,25 percentile,Part Time Workers,Annual pay - gross,Value,46890
Blackburn with Darwen,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,25.2
Blackburn with Darwen,25 percentile,Part Time Workers,Hourly pay - gross,Value,120.47
Blackpool,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,16.6
Blackpool,25 percentile,Part Time Workers,Hourly pay - gross,Value,109.33
Burnley,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,50.9
Burnley,25 percentile,Part Time Workers,Hourly pay - gross,Value,122.26
Chorley,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,60.8
Chorley,25 percentile,Part Time Workers,Hourly pay - gross,Value,147.81
Fylde,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,81.8
Fylde,25 percentile,Part Time Workers,Hourly pay - gross,Value,144.89
Great Britain,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,2
Great Britain,25 percentile,Part Time Workers,Hourly pay - gross,Value,146.88
Hyndburn,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,55.9
Hyndburn,25 percentile,Part Time Workers,Hourly pay - gross,Value,104.84
Lancaster,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,41.7
Lancaster,25 percentile,Part Time Workers,Hourly pay - gross,Value,145.32
North West,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,6.8
North West,25 percentile,Part Time Workers,Hourly pay - gross,Value,144.36
Pendle,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,51.6
Pendle,25 percentile,Part Time Workers,Hourly pay - gross,Value,137.29
Preston,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,31.1
Preston,25 percentile,Part Time Workers,Hourly pay - gross,Value,143.12
Ribble Valley,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,81.8
Ribble Valley,25 percentile,Part Time Workers,Hourly pay - gross,Value,131.24
Rossendale,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,62.9
Rossendale,25 percentile,Part Time Workers,Hourly pay - gross,Value,131.53
South Ribble,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,53.5
South Ribble,25 percentile,Part Time Workers,Hourly pay - gross,Value,144.73
West Lancashire,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,53.5
West Lancashire,25 percentile,Part Time Workers,Hourly pay - gross,Value,146.05
Wyre,25 percentile,Part Time Workers,Hourly pay - gross,Confidence,60.8
Wyre,25 percentile,Part Time Workers,Hourly pay - gross,Value,137.79
Blackburn with Darwen,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,248
Blackburn with Darwen,25 percentile,Part Time Workers,Weekly pay - gross,Value,1915.6
Blackpool,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,212.3
Blackpool,25 percentile,Part Time Workers,Weekly pay - gross,Value,1970.8
Burnley,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,95
Burnley,25 percentile,Part Time Workers,Weekly pay - gross,Value,680.8
Chorley,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,239.3
Chorley,25 percentile,Part Time Workers,Weekly pay - gross,Value,1853
Fylde,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,139
Fylde,25 percentile,Part Time Workers,Weekly pay - gross,Value,935
Great Britain,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,9.2
Great Britain,25 percentile,Part Time Workers,Weekly pay - gross,Value,2162.3
Hyndburn,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,120
Hyndburn,25 percentile,Part Time Workers,Weekly pay - gross,Value,957.2
Lancaster,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,231
Lancaster,25 percentile,Part Time Workers,Weekly pay - gross,Value,1836
North West,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,30.9
North West,25 percentile,Part Time Workers,Weekly pay - gross,Value,2151.2
Pendle,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,90
Pendle,25 percentile,Part Time Workers,Weekly pay - gross,Value,580.9
Preston,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,226
Preston,25 percentile,Part Time Workers,Weekly pay - gross,Value,1718.9
Ribble Valley,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,146
Ribble Valley,25 percentile,Part Time Workers,Weekly pay - gross,Value,1078.5
Rossendale,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,93
Rossendale,25 percentile,Part Time Workers,Weekly pay - gross,Value,831.9
South Ribble,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,234.3
South Ribble,25 percentile,Part Time Workers,Weekly pay - gross,Value,1643.6
West Lancashire,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,184
