indicator,local_authority,year,forecast,lower_95,upper_95,trend_slope
anxiety_high_pct,Blackburn with Darwen,2024,23.32166666666666,18.430703144407637,28.21263018892568,0.12846153846153838
anxiety_high_pct,Blackburn with Darwen,2025,23.45012820512818,18.55916468286916,28.3410917273872,0.12846153846153838
anxiety_high_pct,Blackburn with Darwen,2026,23.57858974358976,18.68762622133074,28.46955326584878,0.12846153846153838
anxiety_high_pct,Blackpool,2024,27.26515151515173,22.962677857632748,31.56762517267071,0.5202797202797204
anxiety_high_pct,Blackpool,2025,27.78543123543136,23.48295757791238,32.08790489295034,0.5202797202797204
anxiety_high_pct,Blackpool,2026,28.305710955710992,24.003237298192012,32.60818461322997,0.5202797202797204
anxiety_high_pct,Burnley,2023,17.64727272727282,9.777707366680907,25.516838087864734,-0.7354545454545456
anxiety_high_pct,Burnley,2024,16.911818181818262,9.042252821226349,24.781383542410175,-0.7354545454545456
anxiety_high_pct,Burnley,2025,16.176363636363703,8.30679827577179,24.045928996955617,-0.7354545454545456
anxiety_high_pct,Chorley,2024,18.755151515151454,10.375007640931962,27.135295389370945,-0.15548951048951062
anxiety_high_pct,Chorley,2025,18.59966200466198,10.219518130442488,26.97980587888147,-0.15548951048951062
anxiety_high_pct,Chorley,2026,18.44417249417245,10.064028619952957,26.82431636839194,-0.15548951048951062
anxiety_high_pct,Fylde,2024,17.57530303030302,11.120876728941699,24.02972933166434,-0.059825174825174826
anxiety_high_pct,Fylde,2025,17.51547785547784,11.06105155411652,23.96990415683916,-0.059825174825174826
anxiety_high_pct,Fylde,2026,17.455652680652676,11.001226379291356,23.910078982013996,-0.059825174825174826
anxiety_high_pct,Hyndburn,2024,27.716969696969727,19.04692477355308,36.387014620386374,0.9124825174825173
anxiety_high_pct,Hyndburn,2025,28.629452214452158,19.95940729103551,37.299497137868805,0.9124825174825173
anxiety_high_pct,Hyndburn,2026,29.541934731934816,20.87188980851817,38.21197965535146,0.9124825174825173
anxiety_high_pct,Lancaster,2024,27.328181818181747,19.535035699553298,35.1213279368102,0.9351048951048951
anxiety_high_pct,Lancaster,2025,28.26328671328679,20.47014059465834,36.05643283191524,0.9351048951048951
anxiety_high_pct,Lancaster,2026,29.198391608391603,21.405245489763153,36.99153772702005,0.9351048951048951
anxiety_high_pct,Pendle,2024,17.449090909090955,5.63657336577322,29.26160845240869,-0.5466783216783215
anxiety_high_pct,Pendle,2025,16.902412587412528,5.089895044094792,28.714930130730263,-0.5466783216783215
anxiety_high_pct,Pendle,2026,16.355734265734327,4.543216722416592,28.168251809052062,-0.5466783216783215
anxiety_high_pct,Preston,2024,24.283484848484818,17.035784793078896,31.53118490389074,0.3568181818181818
anxiety_high_pct,Preston,2025,24.640303030303016,17.392602974897095,31.888003085708938,0.3568181818181818
anxiety_high_pct,Preston,2026,24.997121212121215,17.749421156715293,32.244821267527136,0.3568181818181818
anxiety_high_pct,Ribble Valley,2024,24.397121212121192,13.594522823822853,35.19971960041953,0.49622377622377617
anxiety_high_pct,Ribble Valley,2025,24.893344988345007,14.090746600046668,35.69594337664334,0.49622377622377617
anxiety_high_pct,Ribble Valley,2026,25.389568764568708,14.586970376270369,36.19216715286704,0.49622377622377617
anxiety_high_pct,Rossendale,2024,29.11954545454546,17.981274843432338,40.25781606565858,0.7256993006993004
anxiety_high_pct,Rossendale,2025,29.84524475524472,18.7069741441316,40.98351536635784,0.7256993006993004
anxiety_high_pct,Rossendale,2026,30.570944055943983,19.43267344483086,41.709214667057104,0.7256993006993004
anxiety_high_pct,South Ribble,2024,21.315303030303028,12.060097778858227,30.570508281747827,-0.004825174825174971
anxiety_high_pct,South Ribble,2025,21.310477855477856,12.055272604033055,30.565683106922656,-0.004825174825174971
anxiety_high_pct,South Ribble,2026,21.30565268065268,12.05044742920788,30.560857932097484,-0.004825174825174971
anxiety_high_pct,West Lancashire,2024,21.278181818181793,12.366787108172815,30.18957652819077,-0.3818181818181816
anxiety_high_pct,West Lancashire,2025,20.896363636363617,11.98496892635464,29.807758346372594,-0.3818181818181816
anxiety_high_pct,West Lancashire,2026,20.51454545454544,11.603150744536464,29.42594016455442,-0.3818181818181816
anxiety_high_pct,Wyre,2024,24.08727272727276,15.893670944225144,32.28087451032038,0.37765734265734274
anxiety_high_pct,Wyre,2025,24.46493006993012,16.2713282868825,32.65853185297774,0.37765734265734274
anxiety_high_pct,Wyre,2026,24.842587412587477,16.648985629539858,33.036189195635096,0.37765734265734274
children_low_income_absolute,Blackburn with Darwen,2025,0.343866666666667,0.30226785027324904,0.38546548306008493,0.005266666666666669
children_low_income_absolute,Blackburn with Darwen,2026,0.34913333333333263,0.3075345169399147,0.3907321497267506,0.005266666666666669
children_low_income_absolute,Blackburn with Darwen,2027,0.35440000000000005,0.3128011836065821,0.395998816393418,0.005266666666666669
children_low_income_absolute,Blackpool,2025,0.27226666666667043,0.233268591587524,0.31126474174581686,0.008593939393939393
children_low_income_absolute,Blackpool,2026,0.28086060606061025,0.24186253098146382,0.3198586811397567,0.008593939393939393
children_low_income_absolute,Blackpool,2027,0.28945454545455007,0.25045647037540364,0.3284526205336965,0.008593939393939393
children_low_income_absolute,Burnley,2025,0.3285333333333327,0.28703302700952693,0.3700336396571384,0.008369696969696968
children_low_income_absolute,Burnley,2026,0.3369030303030307,0.29540272397922496,0.37840333662683645,0.008369696969696968
children_low_income_absolute,Burnley,2027,0.3452727272727252,0.30377242094891943,0.3867730335965309,0.008369696969696968
