feature,rf_importance,mean_abs_shap
reoffending_pct_level,0.11420810042172354,488.9656562004631
rough_sleeping_longterm_level,0.10429959835051913,460.8347184214039
rough_sleeping_single_night_level,0.10023766884680335,438.1530805796519
pct_adults_inactive_trend,0.07398896804436358,322.02263818793466
mental_health_qof_prevalence_level,0.07138316088165614,324.11439644720895
violent_crime_violence_offences_per_1000_level,0.0571505320546962,255.828086424304
violent_crime_sexual_offences_per_1000_level,0.042131995476162774,187.8794285972292
homelessness_duty_accepted_pct,0.038588854246368536,166.38963751861215
per_capita_emissions_tCO2e_trend,0.02351669658171964,188.1775041346459
mental_health_qof_prevalence_trend,0.02054399959856384,75.83414102484396
residual_waste_per_household_kg_level,0.01914245547593132,79.90220593564861
rough_sleeping_single_night_trend,0.01866042470015394,39.13985901371817
temp_accom_households,0.018650812450729755,34.22070532873287
violent_crime_sexual_offences_per_1000_trend,0.015621881641814835,84.94247280931589
household_recycling_rejects_tonnes_trend,0.015421997585819221,50.97386837038723
pct_adults_inactive_level,0.015220618290336866,44.62350130819507
imd_domain_Income,0.014012848979525773,50.29358808915702
per_capita_emissions_tCO2e_level,0.013572442310586394,44.66134417658784
rough_sleeping_longterm_trend,0.013452562740756055,37.54357144589469
imd_domain_Education,0.013413664251064005,44.76921911050518
imd_domain_Health,0.012689122397958299,37.347493200165964
violent_crime_hospital_admissions_trend,0.012561247182116602,36.25696177797119
mean_imd_score,0.011564520568672444,58.30322250134625
imd_domain_Employment,0.011452586711442865,32.09986088350849
temp_accom_dependent_children_households,0.011436855788728696,43.23094149399868
smoking_qof_prevalence_level,0.01004477300929963,37.81447731092187
violent_crime_violence_offences_per_1000_trend,0.009456619834182792,64.33772911557988
children_low_income_absolute_level,0.009414638563576216,39.161749382205976
violent_crime_hospital_admissions_level,0.009298248010445811,33.1779514011782
household_recycling_rejects_tonnes_level,0.009079468416064903,24.277443959184456
children_low_income_relative_trend,0.008178953787647048,26.04263113060941
pct_waste_recycled_trend,0.007840815808956523,21.50365815685074
gdhi_level,0.0077742088002730235,23.97550166329133
anxiety_high_pct_level,0.0065906898378825015,18.060724031914386
residual_waste_per_household_kg_trend,0.0064231569759625505,20.451886455791804
obesity_prevalence_adults_level,0.006029801478627631,22.894003480592932
post16_18_positive_destination_pct_level,0.00560840231669886,21.64014647872102
smoking_qof_prevalence_trend,0.004915344217739666,18.582060647933933
children_low_income_absolute_trend,0.004731259283269556,19.540685599894044
reoffending_pct_trend,0.0037963659130893597,10.755060284300948
children_low_income_relative_level,0.003584293114700813,16.626389652709715
pct_waste_recycled_level,0.0031749041850677793,8.485935685792146
imd_domain_Barriers,0.0031528372068323086,12.928563224055484
anxiety_high_pct_trend,0.002978010348186924,14.797034285497508
gdhi_trend,0.002818649346627608,19.731932963117522
life_satisfaction_low_pct_level,0.002799182470081674,9.66764845828384
imd_domain_Living,0.0027729056071344347,8.15320621514238
post16_18_positive_destination_pct_trend,0.0025022380270030885,11.420191089864574
obesity_prevalence_adults_trend,0.0019055472479746446,11.057680807508532
life_satisfaction_low_pct_trend,0.00113677309407333,9.36412860883324
temp_accom_sent_elsewhere_per_1000,0.0010682975203875906,3.207189507545134
