feature,rf_importance,mean_abs_shap
anxiety_high_pct_trend,0.20256769814025266,532.9275510419731
rough_sleeping_single_night_level,0.16078830585669207,468.2069817372737
gdhi_level,0.14626122165212493,510.78018489731545
imd_domain_Health,0.11817385449159959,326.44144017820935
life_satisfaction_low_pct_trend,0.11106670749398793,468.2843125055503
imd_domain_Employment,0.10036033753701912,290.04017932226265
gdhi_trend,0.09305297666346556,504.74161795101674
anxiety_high_pct_level,0.09155653156597804,418.5198889665708
pct_adults_active_raw_trend,0.08787605661643054,298.92890774192944
life_satisfaction_low_pct_level,0.08624422241167708,271.7401721146624
mean_imd_score,0.0854114923461581,260.67745477008026
imd_domain_Income,0.06858752729753165,227.1585489507383
residual_waste_per_household_kg_trend,0.06281669630520127,183.16024661764055
imd_domain_Education,0.05728401974831844,202.9911487696922
rough_sleeping_single_night_trend,0.04989970839699805,158.30840565480372
imd_domain_Barriers,0.04932434911498983,190.3797675555036
post16_18_positive_destination_pct_level,0.045032424834717054,258.46332968643685
imd_domain_Living,0.0337887312633057,189.0795801288986
pct_adults_active_raw_level,0.033340928226781405,191.12881221860314
children_low_income_relative_trend,0.03265621093690976,174.30013937068102
residual_waste_per_household_kg_level,0.028162315462459578,425.502989465051
pct_waste_recycled_level,0.027357177284995583,140.2904885905129
pct_waste_recycled_trend,0.02355669556393926,157.04400999349124
children_low_income_relative_level,0.02069783209381906,146.04729262256413
children_low_income_absolute_level,0.01287262369534809,143.41061894715105
children_low_income_absolute_trend,0.005308908417276539,175.40527575830214
post16_18_positive_destination_pct_trend,0.0018213514049714684,241.23839208890064
rough_sleeping_longterm_trend,0.0,0.0
rough_sleeping_longterm_level,0.0,0.0
