local_authority,gdhi_level,gdhi_trend,children_low_income_relative_level,children_low_income_relative_trend,children_low_income_absolute_level,children_low_income_absolute_trend,residual_waste_per_household_kg_level,residual_waste_per_household_kg_trend,pct_waste_recycled_level,pct_waste_recycled_trend,anxiety_high_pct_level,anxiety_high_pct_trend,life_satisfaction_low_pct_level,life_satisfaction_low_pct_trend,rough_sleeping_single_night_level,rough_sleeping_single_night_trend,rough_sleeping_longterm_level,rough_sleeping_longterm_trend,post16_18_positive_destination_pct_level,post16_18_positive_destination_pct_trend,pct_adults_inactive_level,pct_adults_inactive_trend,household_recycling_rejects_tonnes_level,household_recycling_rejects_tonnes_trend,per_capita_emissions_tCO2e_level,per_capita_emissions_tCO2e_trend,violent_crime_hospital_admissions_level,violent_crime_hospital_admissions_trend,mental_health_qof_prevalence_level,mental_health_qof_prevalence_trend,smoking_qof_prevalence_level,smoking_qof_prevalence_trend,violent_crime_sexual_offences_per_1000_level,violent_crime_sexual_offences_per_1000_trend,violent_crime_violence_offences_per_1000_level,violent_crime_violence_offences_per_1000_trend,reoffending_pct_level,reoffending_pct_trend,obesity_prevalence_adults_level,obesity_prevalence_adults_trend,total_recorded_crime,mean_imd_score,imd_domain_Barriers,imd_domain_Education,imd_domain_Employment,imd_domain_Health,imd_domain_Income,imd_domain_Living,temp_accom_households,temp_accom_dependent_children_households,temp_accom_sent_elsewhere_per_1000,homelessness_duty_accepted_pct,la_cluster
Blackburn with Darwen,1803.576923076923,45.24136752136753,0.37050000000000005,0.0075575757575757595,0.3149,0.005266666666666669,588.0133333333332,5.981071428571428,0.3445333333333334,-0.01355,22.486666666666668,0.12846153846153838,6.204999999999999,-0.24244755244755245,9.229591836734695,-0.7138605442176872,12.53125,1.9458333333333333,40.195697306340385,0.9475771479445386,0.32520000000000004,0.004896969696969699,1885.6,-88.77575757575758,6.079347665155195,-0.3231130672257666,79.90247928571429,-3.4667529010989,1.2330577176598478,0.012278123539303295,19.017235084301984,-0.6061507466625266,2.8087050000000002,0.09961933333333334,35.758421999999996,1.6332126060606065,30.643425,0.11864976190476183,64.987905,0.48045121212121267,13930,36.899,23.985,36.227,0.201,0.787,0.372,33.581,44.0,33.0,0.3318753091700161,40.0,0
Blackpool,1917.6538461538462,32.2,0.2783,0.013399999999999997,0.225,0.008593939393939393,541.5866666666667,-1.8685714285714305,0.3921333333333334,0.0015821428571428562,23.883333333333336,0.5202797202797204,7.439166666666666,-0.1474475524475524,8.134353741496598,1.4855442176870748,8.270833333333334,0.3416666666666668,49.6607578534959,1.9082276157634066,0.341,0.005490909090909094,883.0,74.71515151515153,4.712273119072975,-0.18957361531934616,97.64447714285716,-8.411174505494506,1.5249791775181725,0.028709450517067914,24.876523464938845,-0.5821223171631446,5.212863,0.2430904848484848,62.585015999999996,3.199461818181819,29.99991875,-0.03971154761904745,69.042857,0.6722053939393938,22093,43.467,15.611,38.323,0.26,1.525,0.377,37.754,124.0,43.0,0.3318753091700161,11.29032258064516,0
Burnley,1149.6923076923076,29.115897435897438,0.3353,0.010636363636363638,0.28250000000000003,0.008369696969696968,482.8066666666667,1.03107142857143,0.32780000000000004,-0.0019321428571428584,22.06,-0.7354545454545456,10.209999999999999,0.12060077519379847,3.397959183673469,0.8056972789115645,7.739583333333333,-0.0708333333333333,52.69492789602839,0.7857258155588106,0.3083,0.001484848484848482,101.1,24.890909090909094,6.242519029764696,-0.2536510118099878,86.46912857142858,-3.928229406593406,1.0148166255095015,0.01750608222685582,21.792697418360206,-0.5965816232955354,3.3399349999999997,0.1414449090909091,40.805357,1.8853102424242425,32.15906625,-1.0170901190476196,68.871085,0.5284426060606066,10267,38.681,21.167,38.812,0.208,0.977,0.35,41.291,32.0,15.0,0.3318753091700161,21.052631578947366,0
Chorley,1962.1923076923076,57.94222222222222,0.14740000000000003,0.003684848484848486,0.11979999999999999,0.0021818181818181823,471.53333333333336,0.6378571428571411,0.4616666666666666,-0.004032142857142855,19.765833333333333,-0.15548951048951062,6.486,0.3196407185628742,1.5663265306122451,-0.40093537414965985,0.22619047619047616,-0.20476190476190476,42.17797598359659,1.602429576668452,0.23420000000000002,0.0003272727272727264,1263.5,41.10909090909092,7.701477991564424,-0.25028792585248566,37.17002214285715,-1.2756566373626375,0.9104363549650287,0.022130079310699442,15.567805894368183,-0.5095589976362035,2.063296,0.10770254545454544,24.590219,1.379878484848485,24.943273750000003,0.03934559523809539,63.58395100000001,0.5059155757575757,7111,16.381,17.019,13.365,0.116,0.17,0.168,18.229,17.0,9.0,0.3318753091700161,26.666666666666668,1
Fylde,1504.923076923077,36.25435897435898,0.14800000000000002,0.006472727272727275,0.12189999999999998,0.004321212121212122,452.62666666666667,-0.16071428571428467,0.4565333333333334,-0.0034392857142857137,17.96416666666667,-0.05982517482517483,4.883333333333333,-0.24204918032786887,4.4438775510204085,0.7206632653061225,4.199404761904762,0.27738095238095223,67.5353483770068,11.381066313850349,0.2546,0.00013333333333333196,569.0,37.660606060606064,9.441952897461814,-0.375036749553796,35.40841285714286,-2.4618928351648353,1.1317755189217924,0.020587314000573082,13.864470856171573,-0.6005372403818374,1.962971,0.10476612121212124,20.969463,1.2270510909090908,19.16684875,0.4260477380952381,64.508514,0.6833621818181822,4591,15.712,18.002,14.183,0.119,0.086,0.169,18.846,55.0,13.0,0.44652824291136417,64.28571428571429,1
Hyndburn,1059.2307692307693,26.082051282051285,0.3437,0.010951515151515155,0.2931,0.008624242424242421,425.19999999999993,0.5517857142857132,0.33573333333333333,-0.0029785714285714276,21.785833333333333,0.9124825174825173,8.668571428571429,0.17052631578947364,3.518707482993197,0.40858843537414963,2.020833333333333,0.6416666666666667,41.789895213151325,-2.9758971627002646,0.3044,0.004121212121212121,222.9,90.00606060606061,6.351717513487557,-0.20704489222533817,79.30336785714285,-2.6425537802197807,1.2018869756483477,0.006876214586175609,21.3580548519963,-0.5562839857006288,2.858438,0.18548218181818182,36.741791,2.5444713333333335,29.352735000000003,-0.14685476190476185,69.39297099999999,0.2606873333333332,8389,35.43,20.304,30.634,0.2,0.899,0.328,41.599,12.0,9.0,0.168335998653312,0.0,0
Lancaster,2142.1153846153848,53.6748717948718,0.19,0.004618181818181818,0.15460000000000002,0.002327272727272728,469.84666666666664,0.2867857142857149,0.38886666666666664,-0.004317857142857142,21.25,0.9351048951048951,3.975,-0.0910395655546936,4.642857142857143,0.39880952380952384,3.885416666666667,-0.21250000000000008,50.129059503874245,1.0541771858720734,0.2205,0.002793939393939394,411.8,34.5939393939394,8.92157109711595,-0.24266897607324425,48.609505000000006,-2.580133956043956,0.9705007323398424,0.01480618075961285,16.550912300859896,-0.6379688323031849,2.616984,0.11331830303030302,29.335217000000007,1.0049622424242426,30.22455375,-0.1367682142857146,62.73578,0.19286666666666655,10962,22.408,18.168,20.867,0.132,0.298,0.202,29.383,12.0,8.0,0.3318753091700161,0.0,1
Pendle,1301.9615384615386,28.679316239316236,0.379,0.012121212121212118,0.3277,0.009812121212121215,549.2466666666667,5.676428571428567,0.3323333333333334,-0.00714642857142857,21.0025,-0.5466783216783215,7.315714285714287,0.010274390243902398,1.551020408163265,0.39030612244897955,1.4479166666666667,0.17916666666666664,39.58521010030659,-0.023979875876898503,0.3099,0.003448484848484847,688.2,53.96363636363637,6.526180600707577,-0.2693791001504253,60.07085142857142,-3.1595588131868135,1.0678842143083531,0.001887798600521151,19.991750415971428,-0.6465084279904375,2.251605,0.14631872727272727,27.606808,1.6714678787878792,25.32957375,-0.16795773809523823,66.155444,1.1815606060606063,6694,35.285,27.932,36.036,0.181,0.483,0.337,48.935,17.0,4.0,0.4348159705348236,100.0,0
Preston,2057.846153846154,55.311452991452995,0.2652,0.007442424242424241,0.2205,0.005157575757575758,542.6466666666668,2.9789285714285714,0.3281333333333334,-0.005760714285714285,21.964166666666667,0.3568181818181818,6.155,-0.020306923625981427,12.083333333333334,-0.9523809523809523,21.322916666666664,-5.654166666666667,43.41702425146671,0.6572259154141123,0.26780000000000004,0.005078787878787882,416.2,72.92121212121214,7.276748781104955,-0.24143929611568232,57.11475571428571,-2.623531824175824,1.273154522962887,0.03517035534227627,21.015658298232243,-0.631532054286213,3.094307,0.16164818181818183,39.71911000000001,1.752103030303031,31.2569375,0.5360578571428573,62.669361,0.5151769090909095,16158,28.762,17.136,26.373,0.161,0.759,0.279,26.4,29.0,10.0,0.3318753091700161,12.5,0
Ribble Valley,1408.923076923077,32.98598290598291,0.10870000000000002,0.0026363636363636368,0.09119999999999999,0.0015636363636363645,542.12,0.9896428571428538,0.37120000000000003,-0.002742857142857143,21.171666666666667,0.4962237762237763,6.486,-0.020306923625981427,0.8180272108843537,0.3477891156462585,0.3630952380952381,0.16428571428571428,24.797219901570056,1.0550178287970076,0.20460000000000003,-0.0028606060606060617,328.3,49.44848484848485,21.736641840424618,-0.5993807061332572,29.01582214285714,-1.0064512747252745,0.9441049891377229,0.0013796685271106506,11.90171829493628,-0.5110135237235163,1.446622,0.07092739393939394,14.396918,0.7644956363636362,17.72805375,-0.3336677380952382,61.571452,0.33074872727272764,2501,9.997,19.707,5.686,0.075,-0.738,0.106,26.799,7.0,2.0,0.3318753091700161,50.0,1
